#separator:tab
#html:true
"<img src=""paste-425c49bfc42f092cac370b6d664196d91941aa80.jpg"" title='이 &lt;5 기본서 0.368 참조고려시대에는소방을사라질소 , 재앙재 "" 소재 (\&amp;)” 라하였다 .'/><div><img src=""image-7240b2f6e06da1fd193703b2171b83818d20cf06.jpg"" title=""시기
89
고려시대조선시대갑오개혁""/><br/></div>"	"<img src=""paste-e37fac2484352a70b50e3c81c805c8454ab995ec.jpg"" title/>O<div><img src=""paste-4cf382716c366467fed9f1c894f3e7307723b079.png"" title/><br/></div>"
"<img src=""paste-0ae28290ca684ba719beb9b079df313302306f58.jpg"" title=""12 5 가본서 0.374 참조세종 5 년에상시로다스릴일이없는성문도감과금화도감을병합하여수성금화도감을설치하였으며 , 제조 2 명 , 사 2 명 , 부사 2 명 , 판관 4 명으로구성되었다 .
ㅇ 1×""/>"	"<img src=""paste-05a9884871af75ec8d07bf504ebb489129599d46.jpg"" title/>X<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
"<img src=""paste-3abb5428bbf51f542cc1fde967179390141aded2.jpg"" title=""13 &lt;&gt; 기본서 ㅇ .374 참조세조 13 년에노비로구성된금화군을 “ 멸화군 ” 으로개편하였으며 , 10 명의상주인원으로구성되었다 .
0 ㅇ 1×""/>"	"<img src=""paste-f8ce8b2c9fab614bec38ec41012acd117a6b5485.jpg"" title/>X<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
"<img src=""paste-751a92b94144aae404b5951637503475a63181d1.jpg"" title=""오 &lt;&gt; 기본서 ”.373~374 참조조선시대에는 5 가를 1802 묶어우물을파고물통을준비하도록하는 5 가작통제를시행하였다 . 아울러세종 8 년 (1426 년 ) 2 월에금화도감을설치하였고 , 6 월에는수성금화도감으로개편하였다 .
ㅇ 1×""/>"	"<img src=""paste-316c1bc11307ff5250a69ccb02220dde3b59ca81.jpg"" title/>O<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
"<img src=""paste-ea3f93e9c7d45eddb48dab9ffd763b0cfefbc0ff.jpg"" title='15 (97124 p.374 참 :
갑오개혁에처음으로 "" 소방 (#1#)” 의용어를사용하였으며 ,1895 년에수도급수규이제정되어소화전이설치되었다 .
o1 x'/><div>경무청</div><div>보험회사</div>"	"<img src=""paste-109baeda9417565fe45c95ce6187c1adea6add8a.jpg"" title/>X<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
<div>( )년에 우리나라 최초의 소방서인 경성소방서가 설치되었다</div><br/><div>상비소방수</div><div>소방조</div><div>경방단</div>	"<img src=""paste-e0a2946fe4f71319adeab2fd39c584f20c6d11d8.jpg"" title/>X<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
( )년에 경무청이 설치되고,이후 ( )년 경무청 직제를 제정하면서 '소방'이란 용어가 처음으로 사용되었다.<div><br/><div>최초보험회사</div><div>소화전</div></div>	"<img src=""paste-c8e77ef67044d20e7634fe0e7b41300458a8ab74.jpg"" title/>O<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
"<span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);"">일제 강점기에는 ( )년 최초의 소방서인 경성소방서가 설치되었다. 이후 ( )년 부산 및 평양에 소방서가 개소되었으며,( )년 용산•인천•함흥에 소방서가 증설되</span><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);"">었다.</span><br/><div><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);""><br/></span><div>상비소방수</div><div>소방조</div><div>경방단</div></div>"	"<img src=""paste-eaa61591a6ac327200a0236b6d2a1f4cacbdf846.jpg"" title/>X<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
"<img src=""paste-2597e4ee9d9e7f1629fc8336a4ddf383e197bd8f.jpg"" title=""19 5 기본서 0.376 참조
1945 년에중앙소방위원회및중앙소방청을설치하였다 .""/>"	"<img src=""paste-fd49aca8928746b9489f97d64c5429c606353f9c.jpg"" title/>X<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
"<img src=""paste-77af946205571d933570e49bdad3f939467bb0b3.jpg"" title=""20 &gt; 기본서 6.376 참조과도기미군정시대에는자치소방체제로소방부및소방위원회를구성하고소방행정을경찰에서분리하여자치화하였다 .
ㅇ 1×""/>"	"<img src=""paste-18ffc6ebde9157d16828e21656685f4b2c219407.jpg"" title/>O<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
"<img src=""paste-4a5a6967d75c69a330787706c19796fc3b2b60d0.jpg"" title=""21 &lt;&gt; 기본서 0.376 참조미군정시대에는 1946 년소방부및소방위원회를설치하고 , 소방조직및업무를경찰로부터독립하여자치소방체제로전환하였다 .1947 년중앙소방위원회의집행기구로소방청이설치되었다 .
0 ㅇ 1×""/>"	"<img src=""paste-a01c1cc4c02f2e9166a49ae0459115b56cdb8059.jpg"" title/>O<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
"<img src=""paste-c3f819b8e812f7db7b630fba017d921e702a4503.jpg"" title='22 &lt;&gt; 기본서 .377 참조
1958 년에경찰공무원법이제정되면서소방공무원은국가공무원법에서경찰공무원법의적용을받으며 , 일반직공무원에서 "" 특정직경찰공무원의소방직 "" 신분으로바뀌었다 .
ㅇ 1×'/>"	"<img src=""paste-e862feaa447d0587ae2b7ef308635bf88ceaebd0.jpg"" title/>X<div><img src=""paste-0979c2378ea52d642ce9450b6dd2810b6abf6c60.jpg"" title/><br/></div>"
"<img src=""paste-31bc646de78e4032de11d940b32323bffa6d9a46.jpg"" title=""23 &lt;&gt; 기본서 ”0.379 참조지방소방공무원법 (1973 년 )이제정당시에는국가소방과자치소방의이원적소방행정체제가시행되었다 .
ㅎ 1%※""/><div>민방위(내무부 소방국)</div><div><img src=""image-43d93ef3a750c3724720591080e9b61158aa510e.jpg"" title=""1. 지방소방공무원법제정 (
) : 서울 , 부산적용
2. 소방공무원법 () : 소방공무원신분일원화
3 국가공무원법개정 ㆍ , : 별정직 ㅜ 특정직공무원
4 소방공무원법개정 ) : 별정직 - 특정직공무원""/><br/></div>"	"<img src=""paste-683ceaba751c04100221196104545cd48a8f9731.jpg"" title/>O<div>[소방 신분법령 4-4-2 규칙]</div><div>----------------------------------</div><div>1. 시작: 1973년 (지방소방공무원법)</div><div>   ★ 서울·부산만 적용</div><div>   ↓ (+4년)</div><div>----------------------------------</div><div>2. 통합: 1977년 (소방공무원법)</div><div>   ★ ""77""에 하나로 통일 (일원화)</div><div>   ↓ (+4년)</div><div>----------------------------------</div><div>3. 국가: 1981년 (국가공무원법)</div><div>   ★ ""빨리(81)"" 국가부터 승격</div><div>      (별정직 → 특정직)</div><div>   ↓ (+2년)</div><div>----------------------------------</div><div>4. 완성: 1983년 (소방공무원법)</div><div>   ★ 2년 뒤 소방도 승격</div><div>      (별정직 → 특정직)</div><div>----------------------------------</div><div><br/><div><img src=""paste-e9566c8780c2ae9d51c1b7a0d49e49b2656d4a6b.png"" title/><br/></div></div>"
"<img src=""paste-55e9efc5be15ee361b0a0f4d78fdc1dfa2a66481.jpg"" title=""24 &gt; 기본서 6.379 참조대구지하철화재발생 (2003) 당시에는국가소방체제였다 .
1""/>"	"<img src=""paste-03f192c5e8ab9dba3e239e3b1ec97f703d66f08b.jpg"" title/>X<div><img src=""paste-e9566c8780c2ae9d51c1b7a0d49e49b2656d4a6b.png"" title/><br/></div>"
"<span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);"">( )년에 청원소방원 제도를 도입하게 되었으며, 청원소방원은 방화관리자(현.소방 안전관리자)와 위험물안전관리자의 업무를 보조하고 화재현장에서 사람을구출하고 불을 끄거나 불이 번지지 않도록 조치,소방서장이 화재의 예방•경계 및 진압상 필</span><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);"">요하다고 인정하여 명하는 직무를 담당하였다.</span><br/><div><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);""><br/></span><div>폐지년도</div></div>"	"<img src=""paste-465d6f5d170cf1b0a3d985fe3b43f04af607ff8d.jpg"" title/>X<div><img src=""paste-e9566c8780c2ae9d51c1b7a0d49e49b2656d4a6b.png"" title/><br/></div>"
"<img src=""paste-b20a380f38f84dcc643804f2b29b5313fe3cd0c0.jpg"" title=""26 &lt;&gt; 기본서 6.380 참조
2004 년에 「 재난관리법 .」 을공포하였다 .""/>"	"<img src=""paste-8d46e17029dcf3a9565f1b0cd82bf85e0ac0dd87.jpg"" title/>X<div><img src=""paste-e9566c8780c2ae9d51c1b7a0d49e49b2656d4a6b.png"" title/><br/></div>"
"<img src=""paste-eb902a9a98463fc103c775992de2af1d16ad8d17.jpg"" title=""27 &lt;5 기본서 0.379 참조
1983 년에구조업무를소방업무에포함시켰으며 , 1989 년에구급대운영규정이신설되고구급업무를소방업무범위에포함시켰다 .
ㅇ 1×""/><div>청원소방</div>"	"<img src=""paste-6fdbde5062414de65312f574ec6c21f36899782d.jpg"" title/>X<div><img src=""paste-e9566c8780c2ae9d51c1b7a0d49e49b2656d4a6b.png"" title/><br/></div>"
"<img src=""paste-2b47c4d22524d562d33be67b0d3bacb2b24f72ed.jpg"" title=""28 &lt;&gt; 기본서 6.376~380 참조소방조직의설치가중앙소방위원회 ㅡ 내무부치안국소방과 - 내무부 AU &gt; 4
방방재청 ㅡ 국민안전처중앙소방본부 ㅡ 소방청이다 .
ㅇ 1×""/>"	"<img src=""paste-e6a1901e8ee3850f43d26bbcf37e6c43d447ea76.jpg"" title/>O<div>[소방조직 년도 3단 암기법]</div><div>---------------------------------</div><div>1. 태동기 (+2년 법칙)</div><div>   ★ 1946 (위) : 해방 다음 해</div><div>      ↓ (+2년)</div><div>   ★ 1948 (치) : 정부 수립 해</div><div>---------------------------------</div><div>2. 성장기 (발음 암기)</div><div>   ★ 1975 (국) : ""치료(75)""</div><div>      (구조 구급의 시작)</div><div>---------------------------------</div><div>3. 변혁기 (10년 주기설)</div><div>   ★ 2004 (방) : 대구참사 다음 해</div><div>      ↓ (정확히 +10년!)</div><div>   ★ 2014 (안) : 세월호 참사 해</div><div>      ↓ (+3년)</div><div>   ★ 2017 (청) : 소방청 독립</div><div>---------------------------------</div><div><br/><div><img src=""image-dcc53382ccc6b74839b543c83209e1a44999a20c.jpg"" title/><br/><div><img src=""paste-e9566c8780c2ae9d51c1b7a0d49e49b2656d4a6b.png"" title/><br/></div></div></div>"
"<img src=""paste-f9e603ad9ebe7df0eb2343e7abefdd475ebcf8a1.jpg"" title=""29 &lt;&gt; 기본서 6.376~380 참조소방공무원의신분은일반직공무원 - ㆍ 특정직공무원 -* 별정직공무원으로변화되었다 .
ㅇ 1×""/>"	"<img src=""paste-7500149c1bf24984d31fcbec19dda0fff5d72650.jpg"" title/>X<div><img src=""image-dcc53382ccc6b74839b543c83209e1a44999a20c.jpg"" title/><br/></div><div><img src=""paste-e9566c8780c2ae9d51c1b7a0d49e49b2656d4a6b.png"" title/><br/></div>"
"<img src=""paste-31c7a771eab5cea7e28d6541dcb16d346ea4c2fc.jpg"" title=""30 5 가본서 0382 참조한국소방안전원은직접적중앙소방행정조직에해당하며 , 국립소방연구원은간접적중앙소방행정조직에해당한다 .
o1x""/>"	"<img src=""paste-01e7bdf3ff32ea7b12dda9525313d578b5b10210.jpg"" title/>X<div>소방행정체제</div><div><img src=""paste-783f6c3c3eee98e6a7dd638d7a042354e2f30077.png"" title/><br/></div>"
"<img src=""paste-a4b6c21a9b7383279b68c4eb788c7edaf64b15e4.jpg"" title=""31 &lt;5 기본서 0.382 참조의용소방대는지방소방행정조직에해당하며 , 의무소방대는민간소방행정조직에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-51a5725ac47ae201c4fa1d0e27a75a48f97b3381.jpg"" title/>X<div><img src=""paste-783f6c3c3eee98e6a7dd638d7a042354e2f30077.png"" title/><br/></div>"
"<img src=""paste-be3a732395f05b6b4c5436cf6660739076672c1f.jpg"" title=""32 5 기본서 6.383 참조소방청장의관장사무를지원하기위하여국무총리소속으로중앙소방학교및중앙
119 구조본부를둔다 .
0 ㅇ 1×""/>"	"<img src=""paste-9dfc93b98c48aebecb3deeaceea59956d4878628.jpg"" title/>X<div><img src=""paste-783f6c3c3eee98e6a7dd638d7a042354e2f30077.png"" title/><br/></div>"
"<img src=""paste-df8d5f80e223ae1c8e291f625124139a0c3e3dc4.jpg"" title=""33 &lt;&gt; 기본서 0.383 참조소방청장의직급은소방총감또는소방정감이며 , 소방청의차장의직급은소방감에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-3c5518c28fc5d8f31f13d5afce6761ecd15c0c17.jpg"" title/>X<div><img src=""paste-783f6c3c3eee98e6a7dd638d7a042354e2f30077.png"" title/><br/></div>"
( )년에 소방학교 직제를 공포하였으며, ( )년에 중앙소방학교로 개칭하였다.<br/>	"<img src=""paste-fed2035080e4e537476ee1766415fccf81eccd7a.jpg"" title/>X<div>□ 1978년: 소방학교 직제 공포</div><div>   👉 암기: ""소방학교에 칠판(78) 걸었다.""</div><div><br/></div><div>□ 1995년: 중앙소방학교로 개칭</div><div>   👉 암기: ""중앙에서 인명 구해오(95)!""</div><div><br/><div><img src=""paste-783f6c3c3eee98e6a7dd638d7a042354e2f30077.png"" title/><br/></div></div>"
"<img src=""paste-8229572554b08cc1527385192c534dc17846fdb2.jpg"" title=""35 가본서 6.386 참조소방기술과안전관리기술의향상및홍보 , 그밖의교육 - 훈련등행정기관이위탁하는업무의수행과소방관계종사자의기술향상을위하여한국소방안전원을시 - 도지사의인가를받아설립한다 .
ㅇ 1×""/>"	"<img src=""paste-e740c025a68992ea42515ed87c45257cfd3f3b9e.jpg"" title/>X<div><img src=""paste-783f6c3c3eee98e6a7dd638d7a042354e2f30077.png"" title/><br/></div>"
"<img src=""paste-982f301aadd8d29e8f8ba8e1e7d47966efb1b84b.jpg"" title=""36 &lt;5 기본서 6.386 참조한국소방산업기술원에관하여이법에서규정한것을제외하고는 「 민법 .」 의사단법인에관한규정을준용한다 .
ㅇ 1×""/>"	"<img src=""paste-281e80fe9adcd7c64aa7d464c9f352d193e07ca7.jpg"" title/>X<div><img src=""paste-783f6c3c3eee98e6a7dd638d7a042354e2f30077.png"" title/><br/></div>"
"<img src=""paste-b7f4ca09ffb8d88f33031f93caeb632e2594432e.jpg"" title=""37 &lt;5 기본서 6.389 참조설치된소방서의관할구역에설치된 119 안전센터의수가 3 개를초과하는경우에는소방서를추가로설치할수있다 .
ㅇ 1×""/>"	"<img src=""paste-8694bab5c9a120af6a86e9378bbe4934b92467f6.jpg"" title/>X<div><img src=""paste-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div>"
"<img src=""paste-9d9dd0181e3b2063135efc48a1d9a60824287ab2.jpg"" title=""38 &lt;&gt; 기본서 ”0.389 참조소방서장의소관사무를분장하게하기위하여해당시 - 도의조례로정하는바에따라소방서장소속으로 119 출장소 -119 안전센터 -119 구조대 -119 구급대 -119 구조구급센터 - 소방정대및 119 지역대를둘수있다 .
o1x""/>"	"<img src=""paste-1a72fcb7f8788eb5a2f811d3858942825fa47b28.jpg"" title/>X<div><img src=""paste-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div>"
"<img src=""paste-fcbd867245a8fd7870e9a7a49e847383ef05c744.jpg"" title=""39 5 가본서 0.389 참조소방서는시 - 도 , 시 ㆍ 읍또는면단위로설치하되 , 소방업무의효율적인수행을위하여특히필요한경우에는인근시 - 도 , 시 - 읍또는면을포함한지역을단위로설치할수있다 .
ㅇ 1×""/>"	"<img src=""paste-52f6e6831781f88359689cd73fc6106bfc2ad9da.jpg"" title/>X<div><img src=""paste-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div>"
"<img src=""paste-bbfd08847ec6e9bffca3aaa709a07aa0c9bfe9b6.jpg"" title=""40 &lt;5 기본서 ”0.391 참조의용소방대의숭고한봉사와희생정신을알리고그업적을기리기위하여매년 3월 11
일을의용소방대의날로정하여기념행사를하며 , 의용소방대의날기념행사에관하여필요한사항은시 - 도지사또는소방서장이따로정하여시행할수있다 .
ㅇ 1×""/>"	"<img src=""paste-eafc590155fb87ce77d2ea4f6e1b0597c20f04f8.jpg"" title/>X<div><img src=""paste-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div>"
"<img src=""paste-0ed73ec4eef99cc480e74528426f02c8ac5669ff.jpg"" title=""4 &lt;&gt; 기본서 6.377 참조방공단을대체할새로운기구가요구되어 1954 년엔 “ 의용소방대 ” 를전국적으로 XY
구성하며의용소방대의설치규정을마련하고의용소방대가확고한법적지위를획득하였다 .
@ ㅇ 1%""/>"	"<img src=""paste-be30a5d43fd2b24c8029291aaeb8e85c2adfbf60.jpg"" title/>X<div><img src=""paste-c44c6f814780a35a48d21433d8fe0ec3d4c817e2.png"" title/><br/><div><img src=""paste-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div></div>"
"<img src=""paste-8a808b3bee43a31c25308b315ed90540775f9d84.jpg"" title=""42 &lt;&gt; 기본서 ”0.391 참조민간소방조직중의용소방대는경방단 - 방공단 … 소방대 ㅡ 의용소방대로변화하였다 .
ㅇ 1×""/><div>년도</div>"	"<img src=""paste-a30ae724e2f51d99410cf13e772b963b0b656ceb.jpg"" title/>X"
"<img src=""paste-20fc27bbd550ab6f5058d569527cfc795d1e9e83.jpg"" title=""43 &lt;&gt; 기본서 ”0.391 참조소방본부장또는소방서장은재난현장에서화재진압 , 구조 - 구급등의활동과화재예방활동에관한업무를보조하기위하여의용소방대를설치할수있다 .
ㅇ 1×""/>"	"<img src=""paste-d12b54b30bdf324b36d88e7f983e7496c4f84bb3.jpg"" title/>X<div><img src=""image-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div>"
"<img src=""paste-1f46158e403480f5828272fff8bbe982bb0f57cf.jpg"" title=""44 &lt;&gt; 기본서 0.391 참조의용소방대의구성원중대장및부대장은의용소방대원중소방청장의추천에따라시 - 도지사가임명하며 , 대장과부대장의임기는 2 년이다 .
o1l x""/>"	"<img src=""paste-373f51d61eb45c57533a114672286f828fd1fe73.jpg"" title/>X<div><img src=""image-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div>"
"<img src=""paste-c16f5a3e23585a111c4e42a3c110dd7bbb2c365f.jpg"" title=""45 &lt;&gt; 기본서 6.392 참조의용소방대는비상근으로하며 , 소방시설점검업무의보조임무를수행한다 .
1%""/>"	"<img src=""paste-2c18f13b911d1f0653fe07daa7dc2a88aea15c6d.jpg"" title/>X<div><img src=""image-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div>"
"<img src=""paste-a3aab3fbd74999151b9f244b5c5c660970df8ea5.jpg"" title=""46 &lt;&gt; 기본서 6.392 참조소방청장 , 소방본부장또는소방서장은의용소방대원이그품위를유지할수있도록복무에대한지도 - 감독을실시하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-b8a1e3e4e26744f59365011d172e8c1f656bd486.jpg"" title/>X<div><img src=""paste-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div>"
"<img src=""paste-b516ed3e237768042a3d633207cad14a111e0a17.jpg"" title=""47 &lt;5 기본서 6.393 참조자위소방대는대장 , 부대장 , 비상연락팀 , 초기소화팀 , 피난유도팀 , 응급구조팀 , 방호안전팀으로구성된다 .
ㅇ 1×""/>"	"<img src=""paste-e1e28e95f29bdd2dc32629d59652d2d8bcbfe76b.jpg"" title/>O<div><img src=""paste-8173cc4eb4912e4889a130c5cbd28e97fd1a765d.png"" title/><br/></div>"
"<img src=""paste-00210f066bc6f48b9575c7582641087f846cd950.jpg"" title=""48 &lt;&gt; 기본서 0.394 참조지하 5 층 , 지상 25 층인근린생활시설은 1 급소방안전관리대상물에해당한다 .
o1x""/><div>특</div><div>1</div><div>2</div><div>3</div>"	"<img src=""paste-da98ff22f69b2aca89663c2a26388477c0a957a5.jpg"" title/>X<div><img src=""paste-4ea3e8d997d819fe4ea119dcc8e074924f3e48b5.png"" title/><br/></div>"
"<img src=""paste-be7e7b5bfff9fb82d0581027c1f81830de90bd80.jpg"" title=""49 &lt;5 기본서 0.394 참조연면적 10 만제곱미터인동 - 식물원은특급소방안전관리대상물에해당한다 .
ㅇ 1×""/><div>특</div><div>1</div><div>2</div><div>3</div>"	"<img src=""paste-5245657e3722f9954b46e9bd0a9125b507414d6e.jpg"" title/>X<div><img src=""paste-4ea3e8d997d819fe4ea119dcc8e074924f3e48b5.png"" title/><br/></div>"
"<img src=""paste-d5e69ae1477075a7c0218496db4d6d21edbb5b68.jpg"" title=""50 &lt;&gt; 기본서 6.394 참조호스릴방식의물분무등소화설비만설치할수있는특정소방대상물은 28 소방안전관리대상물에해당한다 .
ㅇ 1×""/><div>특</div><div>1</div><div>2</div><div>3</div>"	"<img src=""paste-e8cb22b1aedcdbde7ec9d8068258c18be7aa23c7.jpg"" title/>X<div><img src=""paste-4ea3e8d997d819fe4ea119dcc8e074924f3e48b5.png"" title/><br/></div><div><img src=""paste-db72752232f3fd942cf6c95060c029199fcc3c13.png"" title/><br/></div>"
"<img src=""paste-56769417327e90ee212ddcd8eb7ee90f64e8d29b.jpg"" title='51 &lt;&gt; 기본서 6.394 참조
"" 공동주택관리법 .」』 의어느하나에해당하는공동주택으로서옥내소화전설비또는스프링클러설비가설치되어있는것은 2 급소방안전관리대상물에해당한다 .
ㅇ 1×'/><div>특</div><div>1</div><div>2</div><div>3</div>"	"<img src=""paste-8a907126ca1c14a0bb7a928d2e646951d2fd4a47.jpg"" title/>O<div><img src=""paste-4ea3e8d997d819fe4ea119dcc8e074924f3e48b5.png"" title/><br/></div><div><img src=""paste-8445eb1f2d950d0705a4f14ee4b2e4d70dcde520.png"" title/><br/></div>"
