#separator:tab
#html:true
"<img src=""paste-8693f1d2b731c95def02f6025487fbecb02480b8.jpg"" title=""이 &lt;&gt; 기본서 0.96 참조화재란사람의의도에반하거나고의또는과실에의하여발생하는연소현상으로서소화할필요가있는현상또는사람의의도에반하여발생하거나확대된물리적폭발현상을말한다 .
@1%×※""/>"	"<img src=""paste-f2a73c743b735900d842ebaa6479c9897cfd34fe.jpg"" title/>X"
"<img src=""paste-beaa44dd6aa5106282d4452eab46d222964ab930.jpg"" title=""12 &lt;&gt; 기본서 0103 참조경질유는부상지붕구조 (581) 에저장하고 , 중질유는콘루프탱크 (&lt;11) 에저장한다 .
ㅇ 1×""/>"	"<img src=""paste-e42082ed0975fb30a130ca3ac83edb3fe988d16f.jpg"" title/>O<div><img src=""paste-80db317f4768a53464dd08746db91c1ee0e2f062.png"" title/><br/></div>"
"<img src=""paste-040b248a15d6c7b9115170544c37c479c0bb05d2.jpg"" title=""13 &lt;&gt; 기본서 0102 참조화재안전기술기준에따른전기화재의정의는전기적점화원에의해발생하는모든화재를말한다 .
ㅇ 1×""/>"	"<img src=""paste-3c740302020075c39f556fcbc09f886c967347f9.jpg"" title/>X<div><img src=""paste-80db317f4768a53464dd08746db91c1ee0e2f062.png"" title/><br/></div>"
"<img src=""paste-0a53c6048ee2ebbfcfc8967df26d7e202a4b5cdf.jpg"" title=""14 &gt; 기본서 0702 참조주유소에서유증기가체류하고있고정전기에의한스파크로화재가발생한것은 ( 급화재로분류한다 .
ㅇ 1×""/>"	"<img src=""paste-691261da6ea1c66f5a00d983b9c02839b299e4c8.jpg"" title/>X"
"<img src=""paste-c1980d4de439d03af94c554b37b70e5801a1094e.jpg"" title=""15 &lt;&gt; 기본서 0102 참조과전류 , 단락 , 단선및절연저항의증가는모두전기적점화원이될수있으며 , 역기전력은전기적점화원의종류에해당하지않는다 .
o1x""/>"	"<img src=""paste-478a9c40e2b09f0860906078d4b063544b88f290.jpg"" title/>X<div><img src=""paste-80db317f4768a53464dd08746db91c1ee0e2f062.png"" title/><br/></div>"
"<img src=""paste-2e4705b97c3537ac8e4c8ac5d36d5eec817c22ad.jpg"" title=""16 &lt;&gt; 기본서 002 참조외출시전원이차단된콘센트에서불이난경우는전기화재 (&lt;- 급화재 ) 에해당한다 .
01X""/>"	"<img src=""paste-5627c74d8a57c5f4cccff4253da360b46a9ffe3b.jpg"" title/>X<div><img src=""paste-80db317f4768a53464dd08746db91c1ee0e2f062.png"" title/><br/></div>"
"<img src=""paste-0467a71f9dced52e31e6c080f8c6bae7ec5028be.jpg"" title=""17 기본서 0103 참조
ES 화재란마그네슴합금등의가연성금속에서일어나는화재를말하며 , 분말형태의금속의경우폭발을동반할수있다 .
0 ㅇ 1×""/>"	"<img src=""paste-13980fb1e440aa0affe27ae1be3ed28427a1d240.jpg"" title/>X<div><img src=""paste-ec30d5bd42f1275d309e5f3fe86854e5f1763b71.png"" title/><br/></div>"
"<img src=""paste-d33b4cb954b03f929be84d958515c9301f28619e.jpg"" title=""18 &lt;&gt; 기본서 0103 참조국내의화재안전기술기준 (\1&lt;.) 에서는유류화재를가스화재에포함한다 .
olx""/>"	"<img src=""paste-ccd6947e81c1a6d4bb91e051b8d9506b93a0fb19.jpg"" title/>X<div><img src=""paste-ec30d5bd42f1275d309e5f3fe86854e5f1763b71.png"" title/><br/></div>"
"<img src=""paste-690c71fc3efff1e65abb9d8f0935827c6faa6aca.jpg"" title=""19 &gt; 기본서 6104 참조가스를저장상태에따라분류할경우압축가스 ., 액화가스및용해가스로분류할수있으며 , 액화가스는임계온도가상온보다낮은가스로 , 상온에서가압또는냉각에의해비교적쉽게액화되어액체상태로용기에충전하는가스를말한다 .
ㅇ 1×""/>"	"<img src=""paste-019b1b79bebb5c245c55640dc5b2aff68b511781.jpg"" title/>X<div><img src=""paste-9f3ae18e91024f242a4dbdb3d9ed7dbe5da72d77.png"" title/><br/><div><img src=""paste-726c37c4d352022fdc94e25443179a7b546c8b17.png"" title/><br/></div></div>"
"<img src=""paste-0ab975e0057e3e5bf6947bafe709ebbf5f1d8e4e.jpg"" title=""20 &lt;&gt; 기본서 004 참조산소 (02) 는압축가스에해당하며 , 이산화탄소 (&lt;02) 는액화가스에해당하며 , 아세틸렌 (&lt;12) 는용해가스에해당한다 .
0 ㅇ 1×""/>"	"<img src=""paste-64fd31512104a8ab7aa0efc9fc0edd475e816eda.jpg"" title/>O<div><img src=""paste-64fa5f499bc79ace341558614fbb17651272ce29.png"" title/><br/></div>"
"<img src=""paste-74b4bfdc69cd42e0ad69c7d437320c0ff0afc017.jpg"" title=""21 &lt;&gt; 기본서 0704 참조가연성가스란공기중에서연소하는가스로서폭발한계의하한이 5[%] 이하인것과폭발한계의상한과하한의차가 10[%] 이상인것을말한다 .
O X""/>"	"<img src=""paste-4378ddcdfd60dbb8128274bfbb5dab39903b5810.jpg"" title/>X<div><img src=""paste-64fa5f499bc79ace341558614fbb17651272ce29.png"" title/><br/></div>"
"<img src=""paste-6f3c10441c80523751c4a38366f630d71366e0b7.jpg"" title=""22 &lt;5 기본서 “0105 참조액화석유가스는프로판 (&lt;!?) 과 HEHCHO)E 주성분으로구성되어있으며 , 액화천연가스에비해발열량및끊는점이높고 , 연소속도가빠르다 .
ㅇ 1×""/>"	"<img src=""paste-419ffd12aa67d0c30971fa6241274f8104fbdc17.jpg"" title/>X<div><img src=""paste-fcf33ef2626dcc4f566120de4d64011356250bc0.png"" title/><br/></div>"
"<img src=""paste-126e5c211c4872f7e10f875b381014e2695bf8bb.jpg"" title=""23 &lt; 가본서 6105 참조주방화재의가연물중하나인식용유의발화점은비점보다낮다 .""/>"	"<img src=""paste-0ed2002157746d800c31243f243c9c0b59560fbb.jpg"" title/>O<div><img src=""paste-fcf33ef2626dcc4f566120de4d64011356250bc0.png"" title/><br/></div>"
"<img src=""paste-f37628897a4f0a20bfb623c39c28f7a7295a2f80.jpg"" title=""24 5 기본서 0105 참조식용유로인한화재시유면상의화염을제거하면복사열에의한기화를차단하여재발화를방지할수있다 .
o1 x""/>"	"<img src=""paste-c804b7a9c4e653ea0677bda445ff9251922a6b8b.jpg"" title/>X<div><img src=""paste-fcf33ef2626dcc4f566120de4d64011356250bc0.png"" title/><br/></div>"
"<img src=""paste-3ff79eb562c48824631fae2a42abc1a541a9a266.jpg"" title=""25 5 기본서 0106 참조건성유란요오드값이 100 미만인것을말하며불포화도가높은기름으로반응성이뛰어나다 .
ㅇ 1×""/><div>건성유</div><div>반건성유</div><div>불건성유</div>"	"<img src=""paste-88e03af59f6373f81ebcf0abd460dc058e0bd68e.jpg"" title/>X<div><img src=""paste-cba05ddf8ed0dfd7e770f814b20b2690d7c5ab30.png"" title/><br/></div>"
"<img src=""paste-e94fb63664d2bcd4b3f38c2680d31aceede34075.jpg"" title=""26 5 기본서 0106 참조산림화재중수관화는나무의줄기에서화재가발생하는것을말한다 .""/><div>가지 잎</div><div>줄기</div><div>낙엽 관목</div><div>유기물</div><div>바람</div>"	"<img src=""paste-0d733b44b93e0536d946d8af9f30a2bc27942837.jpg"" title/>X<div><img src=""paste-cba05ddf8ed0dfd7e770f814b20b2690d7c5ab30.png"" title/><br/></div>"
"<img src=""paste-d2aef435b278f544ca92342aa288f80e2a65f212.jpg"" title=""27 &gt; 기본서 0107 참조열가소성플라스틱은열경화성플라스틱에비해훈소의위험성이높다 .""/><div>폴리- 염화비닐수지</div><div>-수지 폴리우레탄</div>"	"<img src=""paste-90803cbc30f2116bac13b1e88fa9d8c71b4254b0.jpg"" title/>X<div><img src=""paste-02e9650775ce96b31a05fd3369a10dc04868f859.png"" title/><br/></div>"
"<img src=""paste-61fba18181f4369a20c3b97f1cf3c11758837bb4.jpg"" title=""28 &lt;&gt; 기본서 6107 참조염화비닐수지의경우열을가한뒤한번굳어지고나면다시열을가해도다른모양으로변형할수없는플라스틱으로재사용이불가능한것이다 .
ㅇ 1×""/><div>열가소성</div><div>열경화성</div>"	"<img src=""paste-b03323404d5b138db6f281f17d58616253763641.jpg"" title/>X<div><img src=""paste-02e9650775ce96b31a05fd3369a10dc04868f859.png"" title/><br/></div>"
"<img src=""paste-80477bf17707f93fcb9894cc0012e0e371a4ae09.jpg"" title=""29 &lt;&gt; 기본서 0107 참조훈소는발열량및발연량이매우낮은연소로 , 연소속도도매우느린편이다 .
ㅇ 1×""/><div>연기입자크기</div><div>어떤 감지기가 유리</div>"	"<img src=""paste-c6e35ccdcb5f847e2430946f70533a8338fecfdb.jpg"" title/>X<div><img src=""paste-02e9650775ce96b31a05fd3369a10dc04868f859.png"" title/><br/></div>"
"<img src=""paste-237bff373365a1d17442d3cf45ba6e2571adfd8e.jpg"" title=""흐으허소와훈 . &lt;&gt; 기브서 #107 잠조면연소와훈소는모두연쇄반응을하지않는무염연소이다 . 그러나훈소의경우표면연소와달리가연성가스를발생시키며불꽃연소로발전가능성이있는득잠직_밌훑
ㅇ 1×""/>"	"<img src=""paste-e0942fd3586d3bbd4b71ef004e98f946b5e0a18b.jpg"" title/>O<div><img src=""paste-02e9650775ce96b31a05fd3369a10dc04868f859.png"" title/><br/></div>"
"<img src=""paste-9b84ae816787a7d34c9eda18823b599416e84db2.jpg"" title=""31 &lt;&gt; 기본서 0107 참조훈소성화재에서는연기의온도와주변공기의온도가같아져상승력이감소함에따라연기가천장에도달하지못하고하부에서하나의 58 형성하는현상이나타난다 .
ㅇ 1%※""/>"	"<img src=""paste-45d9378df297b218d8a26c873c9aa1addcff8489.jpg"" title/>O<div><img src=""paste-02e9650775ce96b31a05fd3369a10dc04868f859.png"" title/><br/></div>"
"<img src=""paste-537736d1721e13723bd34c89a14c82f8526f1030.jpg"" title=""32 &lt;5 기본서 0108 참조전력 - 통신용의전선이나가스 - 냉난방용의배관또는이와비슷한것을집합수용하기위하여설치한지하인공구조물로서사람이점검또는보수를하기위하여출입이가능한것중폭이 2m 이상이고높이가 1807 이상이며길이가 1077 이상인것은지하구에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-73b2f6fdef60f153de0a77db3e46aa23bff68ba1.jpg"" title/>X<div><img src=""paste-966647a8b9691d5df0e33c3bbefd7d8a0ae0f62b.png"" title/><br/></div>"
"<img src=""paste-374750928482c28c961f2308085ac2ac8b3b853c.jpg"" title=""33 &lt;&gt; 가본서 0108 참조고층건축물이란층수가 50[m] 이상이면서높이가 200[77)] 이상인건축물을말하며 , 화재시수직방향으로의빠른연소확대의우려와굴뚝효과에의한빠른화재전파의위험성이존재한다 .
ㅇ 1※""/><div>초고층</div><div>준초고층</div><div>고층</div>"	"<img src=""paste-901cc45b404d21993963ffe5a4e71c0c87b896e6.jpg"" title/>X<div><img src=""paste-966647a8b9691d5df0e33c3bbefd7d8a0ae0f62b.png"" title/><br/></div>"
"<img src=""paste-49a13a954d616660c22177074323fa4e626bd02b.jpg"" title=""34 &lt;5 기본서 009 참조실내건축물의구획실화재시진행단계는화재초기 - 최성기 - 성장기 - 감쇠기순으로나타난다 .
ㅇ 1×""/>"	"<img src=""paste-327b8465bbcb611b635d8dc335fb73bbc87a6819.jpg"" title/>X<div><img src=""paste-40196a6fd7423e1fee52d86f57539f91f319686e.png"" title/><br/></div>"
"<img src=""paste-f749b8401aec496c21096847dd8599930038c842.jpg"" title=""35 &gt; 기본서 6109 참조화재초기에는다른동으로의연소위험이없으며 , 다량의흑색연기가발생한다 .
18""/>"	"<img src=""paste-da76e05733bdc5bc1efd0d2916bfb444e69276cc.jpg"" title/>X<div><img src=""paste-40196a6fd7423e1fee52d86f57539f91f319686e.png"" title/><br/></div>"
"<img src=""paste-7821a541cf513454b2978687a8c013d605c17fa4.jpg"" title=""36 &lt;&gt; 기본서 010 참조최성기에는산소가부족하여연소되지 Q2 가스가다량발생하며 , 감퇴기에는지붕이나벽체 , 대들보나기둥도무너져떨어지고열발산율은증가하기시작하는시기이다 .
ㅇ 1×""/>"	"<img src=""paste-088bc2b78161ad8c266187c516362a5ddde8448e.jpg"" title/>X<div><img src=""paste-38785237c3b6bb1991a5516a2985d5d59903682f.png"" title/><br/></div>"
"<img src=""paste-c795a43a5226e15b01d28d3af95255e50c0b8d9e.jpg"" title=""37 (SRR TR
성장기는연소가가장격렬한시기로천장이나벽등구조물의낙하가발생할위험이있는단계이다 .
ㅇ 1×""/>"	"<img src=""paste-106aafb910bae069c990cae1f98e10cd6ccfbb16.jpg"" title/>X<div><img src=""paste-38785237c3b6bb1991a5516a2985d5d59903682f.png"" title/><br/></div>"
"<img src=""paste-9d0f5e2318d07614bb39c2ac7c96406683293f0d.jpg"" title=""웃춤 &lt;5 기본서 0.10 참조성장기에는일반적으로연료지배형화재가나타나며 , 최성기에는일반적으로환기지배형화재가나타난다 .
ㅇ 1×""/>"	"<img src=""paste-c0fa2264bf30de52ed9f978801fca5aa58f9403e.jpg"" title/>O<div><img src=""paste-38785237c3b6bb1991a5516a2985d5d59903682f.png"" title/><br/></div>"
"<img src=""paste-37beb331b9c83a6e8737e61bfd79533e89106c89.jpg"" title=""39 &lt;&gt; 기본서 0.10 참조화재성장속도는 635\, Medium, Slow2] 3 단계로분류하며 , Mediume| 22 ㅠ 4\ 에도달하는시간은 300 초이다 .
0 ㅇ 1×""/>"	"<img src=""paste-57380caba85397a3ae7190803454c372140965dc.jpg"" title/>X<div><img src=""paste-38785237c3b6bb1991a5516a2985d5d59903682f.png"" title/><br/></div>"
"<img src=""paste-01d0098ca2c073cb55fb2e0824f29aa5e52dea0d.jpg"" title=""40 &lt;&gt; 기본서 0.10 참조성장기에벽근처에있는가연물들은중앙에위치한가연물에비해비교적적은공기를흡수하며상대적으로낮은화염온도를지닌다 .
ㅇ 1×""/>"	"<img src=""paste-d6ceed51b52677e2728ac1d1ab7490b55114ec30.jpg"" title/>X<div><img src=""paste-38785237c3b6bb1991a5516a2985d5d59903682f.png"" title/><br/></div>"
"<img src=""paste-452b02a9e14cf32539266edb434b28db303043c7.jpg"" title='41 &lt;5 가본서 609 참조실내건축물의구획실화재시나타나는특수현상중 “ 성장기 ""” 에서먼저나타날수있는현상을순서대로나열하면 "" 플래임오버 - 롤오버 - 백드래프트 - 플래시오버 ” 이다 .
ㅇ 1×'/>"	"<img src=""paste-a3e03034d6fb68a089f9a3cb71a839dc0bdb7256.jpg"" title/>X<div><img src=""paste-a9013546da8c7bca6e33f79af1863c472c0ff9fb.png"" title/><br/></div>"
"<img src=""paste-18d4bff61bf73799611f98769ca627e759e1f26c.jpg"" title=""42 5 기본서 0.10 참조최성기에는실내화염이최고조에도달하나실내산소부족으로연소속도가빨라진다 .
으""/>"	"<img src=""paste-15c42d6ace6c9ae99b23dfe62f49acca14e1a66a.jpg"" title/>X<div><img src=""paste-224318bb469e9949b0150006533523a8375143ac.png"" title/><br/></div>"
"<img src=""paste-9a9bba49ca347e4c33a7c9df7e1357d37afee964.jpg"" title=""43 &lt;&gt; 가보서 0.11 참조
E2HAI2H](Flash over)i= 구획실내가연성재료의전표면이 B2 덮이는현상으로구획화재또는국부연소라고도한다 . 또한 , 환기지배형화재에서연료지배형화재로전이되는시기이다 .
ㅇ 1×""/>"	"<img src=""paste-77f3a9f6cde4777c5812c0058f32cd0b0b8a406c.jpg"" title/>X<div><img src=""paste-eb6fbeea65a1f591e87e1f0b17146bea8b78c908.png"" title/><br/></div>"
"<img src=""paste-f4042236a15d1fbc5ff924edfae1e0d8e5bcc7d7.jpg"" title=""44 &lt;5 기본서 6.01 참조플래시오버 ( 티 3 060) 의발생징후로는플래임오버 (3076 ㅇ \/6) 가나타나며 , 일정공간내에서의훈소가관찰된다 .
ㅇ 1※×""/>"	"<img src=""paste-6bf4db2f01c03bf2d3712868058e8e6a56b19e47.jpg"" title/>X<div><img src=""paste-eb6fbeea65a1f591e87e1f0b17146bea8b78c908.png"" title/><br/></div>"
"<img src=""paste-7425b5a1c48601499c7891839d76e290fdb71636.jpg"" title=""45 &lt;&gt; 기본서 6.12 참조
E2HA|281(Flash over)= 성장기에발생하며 , 롤오버 (80 over)i= 최성기에나타난다 . 또한 , B2 28] (Flash over)i= 복사열이강하게나타나며 , &amp; 28 (Roll over)=
복사열이상대적으로약하게나타난다 .
ㅇ 1×""/>"	"<img src=""paste-57a79b24d1e44a8256a5e1484ec99bbfc97a13cf.jpg"" title/>X<div><img src=""paste-ad7e78c6a203a37328c030fe3485bc20da37c6c3.png"" title/><br/><div><img src=""paste-c834401cf5d7ca56e98dbf27bf674fdf3a933299.png"" title/><br/></div></div>"
"<img src=""paste-ae8a29c56b3705a03b480999690586eaec9ce772.jpg"" title=""46 &lt;&gt; 기본서 0.112 참조플래시오버 (30/6『) 는천장재보다벽의마감재가플래시오버에대한영향이크다 .
oI""/>"	"<img src=""paste-b5b8e5bb5d5bdd123de70aa5694418dc48a5cd47.jpg"" title/>X<div><img src=""paste-477b159b6d70dd8ca5e2e3bd5653d45dee74e1ed.png"" title/><br/></div>"
"<img src=""paste-aadb04335f7df9ca6999defb08068832bda9a340.jpg"" title=""47 &lt;&gt; 기본서 6.12 참조
E2HA|261(Flash over)i= 개구부의크기가클수록 , 가연물의발열량이클수록 , 소규모공간보다대규모공간일수록 , 열전도율이높을수록플래시오버의발생시기가빨라진다 .
ㅇ 1×""/>"	"<img src=""paste-6d7c00f10484a689568942364db11182c57cb039.jpg"" title/>X<div><img src=""paste-477b159b6d70dd8ca5e2e3bd5653d45dee74e1ed.png"" title/><br/></div>"
"<img src=""paste-caf3341be50271e24afe01efedd2832ba9236687.jpg"" title=""48 &lt;&gt; 기본서 0.13 참조백드래프트 (83&lt; draft)2t 실내에공기의부족으로자유연소상태에있을때 , 복사열의축적으로실내에축적된가연성가스가단시간에연소 . 폭발하는현상을말한다 .
ㅇ 1×""/>"	"<img src=""paste-fc3ef3e6bad4f0b37e44352c6d541c0a8ff74576.jpg"" title/>X<div><img src=""paste-0d76bc72291a591c60562331ddfae29a26948f9b.png"" title/><br/></div>"
"<img src=""paste-4fa4592ec79b67158126dea95540cbdf73c40395.jpg"" title=""49 &lt;&gt; 기본서 014 참조백드래프트 (830&lt; draft)ofl 의한화재진압시지붕등상부를개방하는것보다출입문을먼저개방하는것이효과적이다 .
ㅇ 1×""/>"	"<img src=""paste-bafe568324885cf5c1782abb2913df1f30d17937.jpg"" title/>X<div><img src=""paste-3822f47d65b4cde7b53eed857691bbe9d27295db.png"" title/><br/></div>"
"<img src=""paste-03a079e00c3ae5f8517438247e6967372e449fdf.jpg"" title=""50 &lt;&gt; 기본서 0.04 참조개구부를통해화염이분출되는것을통해백드래프트 (83 ㅇ &lt; draft)2] 발생징후를확인할수있다 .
ㅇ 1×""/>"	"<img src=""paste-56aaddff7aed0cd10c1f461b64b4add9a8602fc4.jpg"" title/>X<div><img src=""paste-3822f47d65b4cde7b53eed857691bbe9d27295db.png"" title/><br/></div>"
"<img src=""paste-ca1d3fc07ff617589dc9bb73df57af8f4eb4b7f2.jpg"" title=""51 &lt;5 기본서 0.14 참조백드래프트 (83 는연료지배형화재가진행되고있는공간에산소가일시적으로다량공급됨에따라가연성가스가폭발적으로연소하는현상이다 .
ㅇ 1×""/>"	"<img src=""paste-a251fc2d51d0c1bc3bb5aa6cbfc217eef64dc926.jpg"" title/>X<div><img src=""paste-3822f47d65b4cde7b53eed857691bbe9d27295db.png"" title/><br/></div>"
"<img src=""paste-b7fcae9ca3b74043fc34eabb8f83aacab5fa742f.jpg"" title=""52 &lt;5 가본서 0.15 참조플래시오버 0/6) 는충격파는발생하지않고 , 연소파만발생하는현상이다 .
그에반해백드래프트 (83&lt; draftys 충격파와연소파가함께발생하는현상이다 .
ㅇ 1×""/>"	"<img src=""paste-53c2964b39d5f54d98d37a21d75a9a884f1bd299.jpg"" title/>O<div><img src=""paste-50273c8371fc8e173e52af60d73bec8b3a3ef3f5.png"" title/><br/></div>"
"<img src=""paste-db4b8aca3c1e16d0f1a4733a1f2115b6c7b7a023.jpg"" title='53 &lt;&gt; 기본서 0.15 참조
E2fjA| 2t (Flash over)2| 악화요인은 “ 급격한산소공급 "" 이고 , 백드래프트 (83
draft)o] 악화요인은 “ 복사열의축적 ” 이다 .
O x'/>"	"<img src=""paste-27f5e81491c07129ee45ac22d273d32236485cf9.jpg"" title/>X<div><img src=""paste-50273c8371fc8e173e52af60d73bec8b3a3ef3f5.png"" title/><br/></div>"
"<img src=""paste-ac75cd4a4a2362f75179b7fe1ca93e0ee9983607.jpg"" title=""54 &lt;&gt; 기본서 0.15 참조백드래프트가플래시오버보다발생빈도가높다 .""/>"	"<img src=""paste-2ab3923b80f392093310add2759ea2dd7903f8d4.jpg"" title/>X<div><img src=""paste-50273c8371fc8e173e52af60d73bec8b3a3ef3f5.png"" title/><br/></div>"
"<img src=""paste-aa8c728e787457ed109393b134069b5dd47f9ddc.jpg"" title=""55 0 기본서 6.16 참조연료지배형화재란주로성장기에발생하며 , 연료량보다환기량이많은것을의미한다 .
또한 , 환기인자가증가할수록연소속도가빨라진다 .
ㅇ 1×""/>"	"<img src=""paste-4051eb20603246c60508e6b067ecaede47787375.jpg"" title/>X<div><img src=""paste-144c437d509cb02f6b015646237aa23d2ff10e52.png"" title/><br/></div>"
"<img src=""paste-edde8c4cd0940efe59ae32e257195acb1f983a27.jpg"" title=""56 기본서 0.16 참조환기계수는개구부의면적에비례하고 , 개구부의높이에반비례한다 .""/>"	"<img src=""paste-7d7e1f6a130d0847025429fb76ac9be0c3dd4be6.jpg"" title/>X<div><img src=""paste-144c437d509cb02f6b015646237aa23d2ff10e52.png"" title/><br/></div>"
"<img src=""paste-4de7ae90b603a1b619f913438f720b95c370e5a5.jpg"" title=""57 5 기본서 0.16 참조가로 100], 세로 ( 높이 ) 4[07] 인개구부의세로 ( 높이 ) 를 S[m) 연장하는경우환기인자는약 3.4 배증가한다 . ( 단 , 계산결과는소수점둘째자리에서반올림하여산정한다 .)
o1x""/>"	"<img src=""paste-cd875157d782ec99acd15e9f008aae7af7cbe9d7.jpg"" title/>O"
"<img src=""paste-7789c3b9e83a54fa4da60e2f712245cd1a8978f1.jpg"" title=""58 &lt; 가본서 0.16 참조환기계수가커지면화재실의온도는상승하고 , 화재지속시간은길어진다 .""/>"	"<img src=""paste-2d81f764cf3f92946db21f474d0983dbc5ff2d8a.jpg"" title/>X<div><img src=""paste-144c437d509cb02f6b015646237aa23d2ff10e52.png"" title/><br/></div>"
