#separator:tab
#html:true
"<img src=""paste-2e20aad60f1f180979c519f3a8090a52fd16de09.jpg"" title=""이 &lt;&gt; 기본서 6.232 참조소방시설의분류에는소화설비 , 경보설비 , 비상구조설비 , 소화용수설비및소화활동설비가있다 .
o1x""/>"	"<img src=""paste-621e03ce54aa0939f411925459d38328d48e6516.jpg"" title/>X"
"<img src=""paste-6cc93028e7bee50d9dd6179e5caed2fdd30ad951.jpg"" title='13 &lt;&gt; 기본서 0.237~239 참조소화기의사용온도범위가 ""-20 ~ 40[“ ㄷ ]” 인것은분말소화기와산 - 알칼리소화기이다 .
o1 x'/><div>물</div><div>산알칼리</div><div>강화액</div><div>포</div><div>이산화탄소</div><div>할론</div><div>분말</div>"	"<img src=""paste-e424a2df59353987a6994943b8f7c0b923bd19cc.jpg"" title/>X<div><img src=""paste-0b97f3ac035dcc755ed5a4c6baae8a9732885a28.png"" title/><br/></div><div><img src=""paste-2d2f94dc1305fd3e6127c6de8d74dd8ff90c8065.png"" title/><br/></div><div><img src=""paste-8d28cc8512b553e7e1c9ed1118a5bf06647a1c8d.png"" title/><br/></div>"
"<img src=""paste-756b78da535d1f20f1f60b16d2a6f7f5d5f60222.jpg"" title='14 &lt;&gt; 가본서 6.238 참조포소화기는사용온도범위가 ""5 ~ 40[&lt;]” 이고 , 일반화재 , 유류화재및전기화재에적응성이있다 .
ㅇ 1×'/>"	"<img src=""paste-ce7d9e3d83029524a5313c75f11b873f83bb3090.jpg"" title/>x<div><img src=""paste-f42f0c37126e4cca876d69710da8a8cb16a6a5d0.png"" title/><br/></div>"
"<img src=""paste-b5b2bdab0abd828b4570894d4a5a93e9f371a199.jpg"" title=""15 &lt;&gt; 기본서 6.238 참조이신화탄소소화기는일반화재 , 유류화재및전기화재에적응성이있다 . 또한 , 지하층 , 무창층또는밀폐된거실로서그바닥면적이 S0[m?] 미만의장소에는설치할수없다 .
ㅇ 1×""/><div>할론1301 적응성</div><div>할론1211 적응성</div><div>포소화기 적응성</div>"	"<img src=""paste-7c915f98f2b7f038bb1bdaaf1d54a50514c0cc5e.jpg"" title/>x<div><img src=""paste-f42f0c37126e4cca876d69710da8a8cb16a6a5d0.png"" title/><br/></div>"
"<img src=""paste-a552d126baa31c7e552d0de94b61e1893f7ec037.jpg"" title=""16 &lt;&gt; 기본서 0.238~239 참조분말소화기의내용연수는 3 년이며 , 내용연수가지난제품은교체또는성능을확인하여야한다 . 또한 , 제 1 종분말의경우에는일반화재 , 유류화재및전기화재에적응성이있다 .
ㅇ 1×""/>"	"<img src=""paste-92f258e65cfaafb6e319de70656b277bd510eb09.jpg"" title/>x"
"<img src=""paste-7728e0088692bac9375ad5568e4413cd00809f68.jpg"" title=""7 O71EMp23o 참조소화기구 ( 자동확산소화기를제외한다 ) 는거주자등이손쉽게사용할수있는장소에바닥으로부터높이 0.5 미터이상 1.0 미터이하인의곳에비치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-bc12c2bb06a76f6e448083b16325d36dfd540f89.jpg"" title/>x<div><img src=""paste-d0421eb0fe5ed6123818be34311e83986562173a.png"" title/><br/></div>"
"<img src=""paste-39809c0a170b184b0629474bc21be8668f7d833c.jpg"" title=""18 &lt;&gt; 기본서 6.240 참조위락시설은소화기구의능력단위를바닥면적 100 제곱미터마다 1 단위이상으로해야할특정소방대상물에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-457ffc1f97b373a2b3f683e701461fa393ab731d.jpg"" title/>x<div><img src=""paste-3308cbb1f04e3aece394a7c74f5f6898b7119891.png"" title/><br/></div>"
"<img src=""paste-46f7bb9b4470a6cd8c3add9f34762011765a0cca.jpg"" title=""19 &lt;&gt; 기본서 6.240 참조
5 인승이상의승용자동차의소유자는차량용소화기를설치하거나비치해야한다 .
ㅇ 1×""/>"	"<img src=""paste-d6069dc46dadf92a85963966b20044a008e5b2d1.jpg"" title/>o<div><img src=""paste-3308cbb1f04e3aece394a7c74f5f6898b7119891.png"" title/><br/></div>"
"<img src=""paste-280753cbc6de9e181b83c290ba9d167afb55f165.jpg"" title=""20 &lt;&gt; 기본서 0.241 참조소화기구의소화약제별적응성에따라분말소화약제의중탄산염류소화약제는일반화재 , 유류화재및전기화재에적응성을갖는다 .
ㅇ 1×""/>"	"<img src=""paste-5ada3e43caeacbdf11d555b9e4f1e2d9b212d7c5.jpg"" title/>x<div><img src=""paste-e80706d7681f88c48f9a4bf0e5ad0aa28789987b.png"" title/><br/></div>"
"<img src=""paste-209255392e06e87c05e1ff72507a60c9d1f9e8c8.jpg"" title=""21 &lt;&gt; 기본서 0.241 참조소화기구의소화약제별적응성에따라마른모래 , 팽창질석및팽창진주암은전기화재에적응성을갖는다 .
o1x""/>"	"<img src=""paste-ad2743880de9d96e3eb40431bf72bb1b9898bf97.jpg"" title/>x<div><img src=""paste-e80706d7681f88c48f9a4bf0e5ad0aa28789987b.png"" title/><br/></div>"
"<img src=""paste-128a55d9ad55d211cefa1a3df5dada1f41179bc3.jpg"" title=""22 &lt;&gt; 기본서 .242 참조간이소화용구의종류에는에어로졸식소화용구 , 투척용소화용구 , 소공간용소화용구및소화약제외의것을이용한간이소화용구가있다 .
ㅎ 1※""/>"	"<img src=""paste-c0d1369e5e76fbe4b5e63caf7aa94d76ed29f4ab.jpg"" title/>o<div><img src=""paste-52e18e67302605d04540af805bcd1fcfd7e7b3f7.png"" title/><br/></div>"
"<img src=""paste-718461a33f2518efd989109bf9e991ab1d1f3e75.jpg"" title=""23 &lt; 기본서 0.242 참조팽창질석또는팽창진주암의경우삽을상비한 50[Ｌ] 이상의것 1 포는능력단위 1 단위를의미한다 .
. = 비블 1""/>"	"<img src=""paste-7f896bfa8c7e219d041d53f11857af17bbbae573.jpg"" title/>X<div><img src=""paste-52e18e67302605d04540af805bcd1fcfd7e7b3f7.png"" title/><br/></div>"
"<img src=""paste-ec52477bd969938c4390d97af505972bfccd75b9.jpg"" title=""24 기본서 0.245 참조옥내소화전설비의수원은유효수량외에유효수량의 1/2 이상을옥상 ( 옥내소화전설비가설치된건축물의주된옥상을말한다 ) 에설치해야한다 .
ㅇ 1""/>"	"<img src=""paste-1386081a47bbae04f80bec012e2d7973f817f63a.jpg"" title/>X"
"<img src=""paste-bd3a34b92d41665d5d09eb426b217f0304d72e03.jpg"" title=""25 &lt;5 기본서 0.248 참조가압수조를가압송수장치로설치한경우에는옥상수조를설치하지않아도된다 .
ㅇ 1×""/>"	"<img src=""paste-c4aa923b904e0ad3060e230e59083c38fa5a1274.jpg"" title/>O<div><img src=""paste-8e3b3952942cce88e2e6881332c02eca393cb6c2.png"" title/><br/></div>"
"<img src=""paste-8f54d254ce0128d15fd5076c0a208d333ab1c4df.jpg"" title=""26 oM p 26
옥내소화전이 1 층에 67H, 25 ~ 3552 각 1 개씩설치되어있는경우에유효수량은
13[07] 이다 .
ㅇ 1×""/>"	"<img src=""paste-871229280958b8bd050694deeb92071d4b95114d.jpg"" title/>X<div><img src=""paste-49fb8fc683a3a7a7ae5521f981f903aa13d51fe8.png"" title/><br/></div>"
"<img src=""paste-f2f8cd826e1ff3a97cbd9608ecf6fac9f3d5c4c1.jpg"" title=""27 &lt;5 기본서 0248 참조가압송수장치의종류에는고가수조방식, 압력수조방식, 펌프방식및옥상수조방식이있으며 , 신뢰도가높은방식은고가수조방식및펌프방식이다 .
ㅇ 1×""/>"	"<img src=""paste-1be7df16db5dcadce5a18cabc72ada017984a4a9.jpg"" title/>X<div><img src=""paste-0cbc962122af789f24af8135a52378ec7579b4d3.png"" title/><br/></div>"
"<img src=""paste-1ce2a290f3b4aba97ae27a3b8c6dde1034bf9445.jpg"" title=""28 &lt;&gt; 기본서 0.249 참조고가수조방식은특정소방대상물의옥상또는높은지점에수조를설치하여자연낙차의압력으로급수하는수조를말하며 , 다양한형태의건물에적용이용이하여가장많이사용하는방식이다 .
ㅇ 1×""/>"	"<img src=""paste-bbbd8415f4e44167022d146ac1172c74064ecae4.jpg"" title/>X<div><img src=""paste-fa7c2dd2dfdee5e860cc55d611be290fb9e58459.png"" title/><br/></div>"
"<img src=""paste-45b983d86a7f838eef86ebd6bc3b3dd12250061d.jpg"" title=""29 &lt;5 기본서 6.249 참조압력수조방식의부속장치는수위계 , 배수관 , 급수관 , 맨훌 , 급기관 , 압력계 , 오버플로우관 , 압력저하방지를위한자동식공기압축기가있다 .
ㅇ 1×""/>"	"<img src=""paste-73d7f9a2094500ceea1c5f0cb254ed79632d197c.jpg"" title/>X<div><img src=""paste-60df8a79b39be670a69216bed928247e4d706b3d.png"" title/><br/></div>"
"<img src=""paste-80ca2e0b2b9f28a463a7cd19309faab1efc6cf82.jpg"" title=""30 &lt;&gt; 기본서 6.251~252 참조수조의위치가펌프보다높은경우는정압흡입방식을의미하며 , 해당흡입방식의경우풋밸브 , 진공계또는연성계 , 물올림장치를설치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-014519750ee671e8950c7a2688e91ff5756243f8.jpg"" title/>X<div><img src=""paste-3eb011f0ea98395031434abf43913a674602068c.png"" title/><br/></div>"
"<img src=""paste-db91c9ec98d8d2d1c9b4845d44c31ea1889b8bc5.jpg"" title=""31 5 기본서 6.252 참조연성계및진공계는펌프의흡입측배관에설치하며 , 압력계는펌프의토출측배관에설치한다 . 또한 , 대기압이하를측정할수있는장치는연성계또는진공계이다 .
ㅇ 1×""/>"	"<img src=""paste-25b95f9031c79069e21ecb8232f086c0e5e7fc46.jpg"" title/>O<div><img src=""paste-d87b3a332e98f4574e0449ee41089148a15a4d5a.png"" title/><br/></div>"
"<img src=""paste-4f9feebeac6c8fb0c410b7cea08eca6a9f50ac5d.jpg"" title=""32 &lt;&gt; 기본서 6.253 참조펌프의흡입측배관에는버터플라이밸브의개폐표시형밸브를설치해야한다 .
ㅇ 1×""/>"	"<img src=""paste-50259e364d32f900ea00db2690a57804e1d54b64.jpg"" title/>X<div><img src=""paste-ea1011acbb94a07bc6af28634bb54a0b84bd820b.png"" title/><br/></div>"
"<img src=""paste-35105da30027f087ad0890edefe4fd7947d2be28.jpg"" title=""33 &lt;5 가본서 0254 참조주펌프및충압펌프에는순환배관및성능시험배관을설치하여야한다 .""/>"	"<img src=""paste-2aa6c8413af1c472be03c3ac47f7e7afd35ea165.jpg"" title/>X<div><img src=""paste-c13787dd4321a2a208c577c9cc8a1cb60b055360.png"" title/><br/></div>"
"<img src=""paste-f90b6207d78e28f0b159e74abae174ff174e4eab.jpg"" title=""34 &lt;&gt; 기본서 0.254 참조가압송수장치 ( 단 , 충압펌프는제외한다 ) 가기동이된경우에는자동으로정지되지아니하도록하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-3b92d34f9105341de6a037c18d1cefe935d07592.jpg"" title/>O<div><img src=""paste-c13787dd4321a2a208c577c9cc8a1cb60b055360.png"" title/><br/></div>"
"<img src=""paste-d4f5bdab13a75341a95d229303d75365c384e0f4.jpg"" title=""35 &lt;&gt; 기본서 0.255 참조펌프의임펠러회전속도를느리게하거나펌프의흡입측수두를크게하여공동현상을방지할수있다 .
o1x""/>"	"<img src=""paste-26c5a53b39b79618bfbefaf7895ca9cf55b4dec3.jpg"" title/>X<div><img src=""paste-4496896f6b64f4580d39c6fdc97e73efb270540d.png"" title/><br/></div>"
"<img src=""paste-67395809b14ddfb0aaf7ee2cd27479d2562c1982.jpg"" title=""36 &lt;&gt; 기본서 0.255 참조
2 (Water hammering) &amp; 방지하기위해서는수격방지기 , 서지 Y3 (Surge
tank), 플라이휠 ( 디 / 싸 )6!) 을설치하거나관경의축소를통해유체의유속을증가시켜압력변동치를감소시킨다 .
@1%""/>"	"<img src=""paste-91c0725018f420ba9b2a7b03b5c69bfae929e276.jpg"" title/>X<div><img src=""paste-b78e0ccd1926147b82654fcac0afa8d50ed194a4.png"" title/><br/></div>"
"<img src=""paste-5c38a1c720e2409535606278fdbd4532979d0f87.jpg"" title=""37 &lt;&gt; 가본서 0.255 참조맥동현상이란소방펌프내부유속의급속한변화또는와류의발생등에의해액체의압력이증기압이하로낮아져기포가생성되고 , 이로인해펌프의성능이저하되고진동과소음이발생하는현상을말한다 .
ㅇ 1×""/>"	"<img src=""paste-e3b231fe3cce91b9f7f808829587c10789db012b.jpg"" title/>X<div><img src=""paste-b78e0ccd1926147b82654fcac0afa8d50ed194a4.png"" title/><br/></div>"
"<img src=""paste-844aa315192ea702e92d2fef59e3c922e4ee7b47.jpg"" title=""38 &lt;&gt; 기본서 6.256 참조가압송수장치의체절운전시수온의하강을방지하기위하여체크밸브와펌프사이에서분기한구경 20[000] 이상의배관에체절압력이상에서개방되는안전밸브를설치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-e71e3c564a4822c71fa47e0af6259373335e4220.jpg"" title/>X<div><img src=""paste-0accbcd09841eeac4ebdfd39799c75b59ee0967a.png"" title/><br/></div>"
"<img src=""paste-760fcbd7c546f2282b92e845c677629b731f6cd5.jpg"" title=""39 &lt;5 기본서 6.257 참조펌프의성능은체절운전시정격토출압력의 120[%] 를초과하지않고 , 정격토출량의
175[%]2 운전시정격토출압력의 65[%] 이상이되어야하며 , 펌프의성능을시험할수있는성능시험배관을설치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-40c71d37e0e616a9644c3c9715da97fc3b59ca37.jpg"" title/>X<div><img src=""paste-75d21b71ce8ac082b4caea393592640319910230.png"" title/><br/></div>"
"<img src=""paste-b3763a1d9388e8d5d74686026714f75ea5b9ed93.jpg"" title=""40 &lt;5 기본서 ”0.257 참조펌프의성능시험배관에설치하는유량측정장치는펌프의정격토출량의 50[%] 이상까지측정할수있는성능이있어야한다 .
o1x""/>"	"<img src=""paste-9e4b7bb9b0ee3d13f517e690b1d4977449359822.jpg"" title/>X<div><img src=""paste-75d21b71ce8ac082b4caea393592640319910230.png"" title/><br/></div>"
"<img src=""paste-1aa9855f62069f306dd258b97ed36be8c9ee30e1.jpg"" title=""41 &lt;&gt; 기본서 6.258 참조물올림장치란수원의수위가펌프보다낮은위치에있는경우설치하는것으로 , 펌프와풋밸브사이의배관내에항상물이공급되도록하여펌프가공회전을하지 B 8
을송수할수있도록하는장치를말하며 , 펌프의흡입측배관에설치한다 .
ㅇ 1×""/>"	"<img src=""paste-458cac7b4f83e8173e8cd1a71a7187cf28e72b7a.jpg"" title/>X<div><img src=""paste-75d21b71ce8ac082b4caea393592640319910230.png"" title/><br/></div>"
"<img src=""paste-9ac4217a26e381fe8b41980815754d4f6e241d94.jpg"" title=""42 &lt;5 가본서 0259 참조기동용수압개폐장치란소화설비의배관내압력변동을검지하여자동적으로펌프의기동및정지를시키는것으로서압력챔버또는기동용압력스위치등이있다 .
ㅇ 1×""/>"	"<img src=""paste-963308bf5d96c06ac6511bf43cc1143b1a9da444.jpg"" title/>O<div><img src=""paste-9fefc33c55bc47e38fcdf29871567318c5b0eb44.png"" title/><br/></div>"
"<img src=""paste-0185f5fb900a599c66d895053435873d4ab8b7f1.jpg"" title=""43 &lt;&gt; 기본서 6.251~260 참조자동기동방식의펌프가수원의수위보다높은곳에설치된옥내소화전설비의구성요소로기동용수압개폐장치 , 릴리프밸브 , 동력제어반 , 감시제어반 , 솔레노이드밸브 ,
체크밸브 , 풋밸브 , 물올림장치등이있다 .
01X""/>"	"<img src=""paste-fb705553fc70cc1491722f86b49869bd62125edf.jpg"" title/>X"
"<img src=""paste-8f8918b9e3f611a6a7b733ed23a536dcf6ccebd7.jpg"" title=""44 &lt;5 기본서 0.262 참조옥내소화전설비의함가까이보기쉬운곳에그사용요령을기재한표지판을붙여야하며 , 표지판을함의문에붙이는경우에는문의외부에붙여야한다 . 이경우 , 사용요령은외국어와청각적인음성을포함하여작성해야한다 .
ㅇ 1×""/>"	"<img src=""paste-9a9a4e178d94f469ba0ec02e495ba6d09795c259.jpg"" title/>X"
"<img src=""paste-c54c989370475fa0cc963d44bfe0b4b231ddd83a.jpg"" title=""45 &lt;&gt; 기본서 0.264 참조옥내소화전설비의방수구는바닥으로부터의높이가 0.5[07] 이상 1.0[m] 이하가되도록하여야하며 , 호스는 77 65[mm] 이상의것으로서특정소방대상물의각부분에물이유효하게뿌려질수있는길이로설치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-64527b1e9c4b63ad559c71bc98f7f7b82b7f606e.jpg"" title/>X<div><img src=""paste-5c03aac2a9d2231ea6f85aaf06db78e260a447c5.png"" title/><br/></div>"
"<img src=""paste-5f14d99f8f7eb5d2eb6e8eab3d7ef68d5cc7f22e.jpg"" title=""46 &lt;5 기본서 6.266 참조옥내소화전설비의송수구는지면으로부터높이가 0.5[07] 014 1.0[m] 이하의위치에설치하여야하며 , 구경 65[0707] 의쌍구형또는단구형으로하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-3544b91f8a9e40d4d8e0fce1e893442a20b75e4c.jpg"" title/>O<div><img src=""paste-9a59e0a5a0a421764202b32ae9ea31b96d26524c.png"" title/><br/></div>"
"<img src=""paste-5006b068c1d0d13306725182f95545c0dde43b01.jpg"" title=""47 &lt;&gt; 기보서 6.267 참조옥외소화전설비의 Y422 250[1/min] 이상이어야하며 , 방수압력은 0.17[\462]
이상으로하여야한다 .
ㅇ 1×""/><div>옥내</div>"	"<img src=""paste-e1a259d6debfaccfad40dd87a6d57b3ed964bc61.jpg"" title/>X<div><img src=""paste-2089444b550fc7d79a2b0148647bc311eaef026b.png"" title/><br/></div>"
"<img src=""paste-135a181b3dfc1e21cf642b0031f97af299ae5859.jpg"" title=""48 &lt;&gt; 기본서 .268 참조옥외소화전의호스접결구는지면으로부터의높이가 0.5[07] 이상 1[m] 이하의위치에설치하고 , 특정소방대상물의각부분으로부터하나의호스접결구까지의수평거리가 25[m] 이하가되도록설치해야한다 .
oIk""/>"	"<img src=""paste-fea8a33f9e6118f83f271c5dfca2ecec55c0e36a.jpg"" title/>X<div><img src=""paste-ad03e1d60d07c8d663331ca28aa86ffdc16f4a0a.png"" title/><br/></div>"
"<img src=""paste-ee71a9dce0999badd943b7794bdbd8831183c110.jpg"" title=""49 &lt;&gt; 기본서 0.269 참조옥외소화전의개수가 11 개이상 30 개이하인경우에는옥외소화전 3 개마다 1 개이상의소화전함을설치하여야한다 .
61""/>"	"<img src=""paste-701f743a30472b8cdcf036336313ae985705ea90.jpg"" title/>X<div><img src=""paste-f2bb20cc038e15299c7c6602377649b598c38d7d.png"" title/><br/></div>"
"<img src=""paste-e2d97df07701bebd63cf0f07cd644e268802108c.jpg"" title=""50 &lt;5 기본서 0270 참조스프링클러설비는개방형스프링클러헤드또는감지기에의해화재가감지되면자동적으로방호구역또는방수구역에물을살수하여소화하는설비를말한다 .
ㅇ 1×""/>"	"<img src=""paste-2b52c15db10218c769594b34065a217a2a5769e2.jpg"" title/>X<div><img src=""paste-66c2aed6e1e5ca16751f87e0e20acbc953d7518c.png"" title/><br/></div>"
"<img src=""paste-020e921480d451bda778e56a7d86096df47d56f1.jpg"" title=""51 &lt; 기본서 0.272 참조
35591 복합건축물의경우에는스프링클러설비수원의유효수량이 96[77] 이다 .
ㅇ 1×""/>"	"<img src=""paste-ca1fce3d0be7a5625c00aada778777edfecd0d4b.jpg"" title/>O<div><img src=""paste-627c0868b4525450184df6be02de1c7943d14a8d.png"" title/><br/></div>"
"<img src=""paste-dc5a7faf4b9f6ce173fb8d7607ab3a4a40ba1d79.jpg"" title=""52 &lt;&gt; 기본서 0.273 참조스프링클러헤드의구성품중 CIZAE|(Deflector)= 열에의하여작동할수있는장치로정상상태에서방수구를막고있다가화재시열에의해이탈되어방수구를개방하는것이다 .
ㅇ 1×""/>"	"<img src=""paste-4bbe8c45f1678f408dd2149ceb3c5c7bb1044bf8.jpg"" title/>X<div><img src=""paste-9883f255d4854234eef3af96c24bf7db0109470e.png"" title/><br/></div>"
"<img src=""paste-765c69841afe847f751ac65b70cfae69c69188f0.jpg"" title=""53 &lt;&gt; 기본서 0.273 참조개방형헤드란감열체없이방수구가항상열려져있는스프링클러헤드이다 .
ㅇ 1×""/>"	"<img src=""paste-7be3e0ff3b3ac8bf3a7f4edea69c04b9c4431e47.jpg"" title/>O<div><img src=""paste-9883f255d4854234eef3af96c24bf7db0109470e.png"" title/><br/></div>"
"<img src=""paste-eba50b36425ddbedefa87e1045ab770b604f36d8.jpg"" title=""54 &lt; 기본서 0.275 참조조기반응형헤드란반응시간지수 (&amp;1!) 가 350 이상이며 , 오피스텔의침실 , 공동주택의거실 , 노유자시설의거실 , 숙박시설의침실 , 병원의입원실 , 의원의입원실에설치한다 . 트
1※""/><div>조기반응형</div><div>특수반응형</div><div>표준형</div>"	"<img src=""paste-79c48d5b941a28249b18f1f7ca97999142376195.jpg"" title/>X<div><img src=""paste-0f74d83f756beb3b294529d575d8c161464ff43a.png"" title/><br/></div>"
"<img src=""paste-9351d14d71c59eb5d980bed10ece2972b234ee33.jpg"" title=""55
&lt;&gt; 기본서 0.275 참조특수가연물을저장또는취급하는장소에있어서스프 : 드의수 ' 는
o 링클러헤드의수평거리는 2.3(m]
ㅇ 1%×""/><div>무대부 특수</div><div>기타</div><div>내화</div>"	"<img src=""paste-b190bce2c25496460ecea39953cc43ee8ffbc5ac.jpg"" title/>X<div><div><img src=""paste-0f74d83f756beb3b294529d575d8c161464ff43a.png"" title/><br/></div></div>"
"<img src=""paste-aa21e8cbbae01e09687d1b10e8095864a002903c.jpg"" title=""56 &lt;&gt; 기븐서 6.277 참조가지배관은스프링클러헤드가설치되어있는배관을말하며 , 토너먼트배관방식이아니여야한다 .
으 .""/><div>가압송수장치 또는 송수구와 직접 연결 배관</div><div>교차배관 물 공급 배관</div><div>급수하는 배관</div><div>가지배관에 급수하는 배관</div><div>구부림이 용이하고 유연성 가진 배관</div>"	"<img src=""paste-855f6cf7afb4307726adca6ba60a40c1e6169560.jpg"" title/>O<div><img src=""paste-ddc7aeb032c45839af5f20035539648936ad4069.png"" title/><br/></div>"
