#separator:tab
#html:true
"<img src=""paste-6d5132053d0c1b9c309241f12c4141da0547784b.jpg"" title=""o1 &lt;&gt; 기본서 0.461 참조아네스 (8「. J. Anesth) = 재난을크게자연재난과인적 ( 인위 ) 재난으로구분하였고 ,
E2(David K. Jones)i= 재난을크게자연재난 , 준자연재난 , 인적 ( 인위 ) 재난으로구분하였다 .
ㅇ 1×""/>"	"<img src=""paste-169dc9379efe37462e679265562426bd69870c23.jpg"" title=""""><img src=""paste-f3068d8217a1f6d8f33ca7a7939fdde2a08d4ba5.jpg"" title=""""><div><img src=""paste-b174d33c8b1ce9abbe83fa567c663efe255c957b.png"" title=""""><br></div>"
"<img src=""paste-06cea99d7734c0bd11fd0d85610cef626d7da82b.jpg"" title=""12 &lt; 기본서 0.464 참조플랭크 H{=(Frank 810) 의도미노이론에서는 3 단계의직접원인을반드시제거해야사고를방지할수있음을의미한다 .
0 ㅇ 1×""/>"	"<img src=""paste-3cc7734914e64bf1b2f8b423ad26dcbf212ae491.jpg"" title/><img src=""paste-cfe0be1861a2465cc5f86ba593e21803ca0eea72.jpg"" title/><div><img src=""image-1a674a296470722fc0c3defd9c4fab59540f293d.jpg"" title/><br/></div>"
"<img src=""paste-ef9135e7d9aa6537a5bf2baa1119f40d3226b001.jpg"" title=""13 &lt;&gt; 기본서 0464 잠조기본원인에따라재해의원인을 Man, Machine, Manner, Management 2912
로구분하여분석한다 .
ㅇ 1×""/>"	"<img src=""paste-33c08728be1ef00864fa1ec99f0bb749ba4334d5.jpg"" title/><img src=""paste-cee3ed1b78a3f5e2abf1d77df5a78c1c15359a9a.jpg"" title/><div><img src=""image-1a674a296470722fc0c3defd9c4fab59540f293d.jpg"" title/><br/></div>"
"<img src=""paste-5db3bdda0d037014372d6e4cfbe57ff2692aa09e.jpg"" title=""14 &lt;5 기본서 0.465 참조재해예방의 4 원칙중대책선정의원칙에의해사고의원인이나불안전요소가발견되면반드시대책을선정및실시하고사고예방을위한가능한안전대책은반드시존재한다 .
ㅇ 1×""/>"	"<img src=""paste-c277423954e8d61c092da1c2b4b6f5787d4adf57.jpg"" title/><img src=""paste-cee3ed1b78a3f5e2abf1d77df5a78c1c15359a9a.jpg"" title/><div><img src=""paste-2f8b84ea3846289dcfa8cbbfef88e032e31a0dac.png"" title/><br/></div>"
"<img src=""paste-1b222ffa2966b77abef3d98f9bcfb762d2497cf6.jpg"" title='15 &lt;5 가본서 0.466 참조재난의유형별특징을강조하는것으로서단일부처의기관이참여하여 MY 및 K
이집중된것은재난관리의 YA 중 “ 분산관리방식 ""” 의특징이다 .
O X'/>"	"<img src=""paste-4326f58ce9e805743eea27e133563e7a9d563b1f.jpg"" title/><img src=""paste-cee3ed1b78a3f5e2abf1d77df5a78c1c15359a9a.jpg"" title/><div><img src=""paste-6a46fb1adc868ad20ea03bfbacfd2141fd772e68.png"" title/><br/></div>"
"<img src=""paste-4b607c056f44f6d09de3acb117fb1c2686f35990.jpg"" title=""&lt;5 기본서 0.466 참조뚫니퍽리량삭중 “ 분산관리방식 ” 은재난시유사한자원동원체계와자원유형을필요로한다 . o""/>"	"<img src=""paste-eab77f3c44ec1b0901ea95ac33217a6c7e219e78.jpg"" title/><img src=""paste-cee3ed1b78a3f5e2abf1d77df5a78c1c15359a9a.jpg"" title/><div><img src=""paste-6a46fb1adc868ad20ea03bfbacfd2141fd772e68.png"" title/><br/></div>"
"<img src=""paste-7979dc4918803739d29e14a9a18798dc7d3aca9c.jpg"" title='7 5 기본서 6.466 참조페탁 ( ㅇ 612() 의재난관리는 “ 예방 - 대비 - 대응 - 복구 ” 의단계로나뉘며 , 소방이주도적인역할을하는단계는 "" 복구 ” 단계이다 .
ㅇ 1×'/>"	"<img src=""paste-c5a6900320bd598b9739efad450083fed748cf02.jpg"" title/><img src=""paste-cee3ed1b78a3f5e2abf1d77df5a78c1c15359a9a.jpg"" title/><div><img src=""paste-6a46fb1adc868ad20ea03bfbacfd2141fd772e68.png"" title/><br/></div>"
"<img src=""paste-a0ffeb49fff848a691c15c1e81d8fa82ab4b8ec6.jpg"" title=""~~ &lt;&gt; 기본서 6.467~468 참조난안전 ' 은재난관리의단계중 “ 대비단계 ”
기반의지정은재난관리의단계중 &quot; 대응단계 ” 에예、굳}콩]다계 B
o1x""/>"	"<img src=""paste-14076d4ee7a8ae501a9f04913f5ff170d1f322bc.jpg"" title/><img src=""paste-407cd2f8f0d5183b90318862167cf388a9a0bb8e.jpg"" title/><div><img src=""image-7bb5a0020d983b18d4dd595ccc40ec8bdcf63b23.jpg"" title/><br/></div><div><img src=""image-6cc8bfa60a07ad8364c0100aa28a110b9dac42bc.jpg"" title/><br/></div><div><img src=""image-6d51551aa37e995a89864b6af2fb9262938a1e8c.jpg"" title/><br/></div>"
"<img src=""paste-fd0ff5a1755a2eb3329f9ce821b0c9adef1bdace.jpg"" title='19 5 기본서 6.467~468 참조재난예보 - 경보체계구축 - 운영은재난관리의단계중 "" 대응단계 ” 에해당하며 , 재난분야위기관리매뉴얼작성운용은재난관리의단계중 "" 예방단계 ” 에해당한다 .
ㅇ 1※'/>"	"<img src=""paste-e9450f770b749f4174556f7625f5e84b60bfcd25.jpg"" title/><img src=""paste-407cd2f8f0d5183b90318862167cf388a9a0bb8e.jpg"" title/><div><img src=""image-7bb5a0020d983b18d4dd595ccc40ec8bdcf63b23.jpg"" title/><br/></div><div><img src=""image-6cc8bfa60a07ad8364c0100aa28a110b9dac42bc.jpg"" title/><br/></div><div><img src=""image-6d51551aa37e995a89864b6af2fb9262938a1e8c.jpg"" title/><br/></div>"
"<img src=""paste-b4d6f8337b60171d29f681b698fc1d4c8ef9c135.jpg"" title='20 &lt;&gt; 기본서 6.467~468 참조재난사태의선포는재난관리의단계중 "" 대응단계 ” 에해당하며 , 특별재난지역의선포는재난관리의단계중 “ 복구단계 ” 에해당한다 .
ㅇ 1×'/>"	"<img src=""paste-fe7348466b0635b3c8d7df0dd745a2cdbbda0e5a.jpg"" title/><img src=""paste-407cd2f8f0d5183b90318862167cf388a9a0bb8e.jpg"" title/><div><img src=""image-7bb5a0020d983b18d4dd595ccc40ec8bdcf63b23.jpg"" title/><br/></div><div><img src=""image-6cc8bfa60a07ad8364c0100aa28a110b9dac42bc.jpg"" title/><br/></div><div><img src=""image-6d51551aa37e995a89864b6af2fb9262938a1e8c.jpg"" title/><br/></div>"
"<img src=""paste-30a7cac8bfc3870f4cb99d79d5c787b259f28b2e.jpg"" title=""21 &lt;&gt; 기본서 6.470 참조안전기준이란재난이나그밖의각종사고로부터사람의생명 - 신체및재산의안전을확보하기위하여하는모든활동을말한다 .
o1x""/>"	"<img src=""paste-651b53e6d7cfcc28bf2f9e7760cc7025fb8cabe0.jpg"" title/><img src=""paste-407cd2f8f0d5183b90318862167cf388a9a0bb8e.jpg"" title/><div><img src=""paste-27b84cf72a091fdc1e7a4936e9097579b2f29a58.png"" title/><br/></div>"
"<img src=""paste-22c76f79ea6e6a7003d63d5c8722c62bd8ace210.jpg"" title=""22 &lt;&gt; 기본서 0.472~476 참조승강기의사고또는고장으로인해발생하는대규모피해는재난관리주관기관중과학기술정보통신부가담당한다 .
ㅇ 1×""/>"	"<img src=""paste-2b2fa06e690457fc3b8f7920d728f70c7654f588.jpg"" title/><img src=""paste-407cd2f8f0d5183b90318862167cf388a9a0bb8e.jpg"" title/><div><img src=""image-c2465654acfdd33797b51f06a8e7e99c5db4d539.jpg"" title/><br/></div>"
"<img src=""paste-04c32bc2e8d9e721c8dff04c472afe0e3d57d708.jpg"" title=""23 &lt;5 기본서 .472~476 참조일반인이자유로이모이거나통행하는도로 , 광장및공원의다중운집인파사고로인해발생하는대규모피해는재난관리주관기관중경찰청및소방청이담당한다 .
016""/>"	"<img src=""paste-c61e658f2f07412384b9416e8c83cf8c86c758e4.jpg"" title/><img src=""paste-19fb65d6c0643fee81133b2f236ed5e41df73a51.jpg"" title/><div><img src=""image-c2465654acfdd33797b51f06a8e7e99c5db4d539.jpg"" title/><br/></div>"
"<img src=""paste-b85d2776ee36d581ac7dfce1d60e9441e830cf1f.jpg"" title=""24 &lt;&gt; 기본서 0.472~476 참조해양사고 ( 해양에서발생한사고로한정하며 , 해양오염은제외한다 ) 로인해발생하는대규모피해는재난관리주관기관중해양수산부및해양경찰청에서담당한다 .
ㅇ 1×""/>"	"<img src=""paste-24a6056f3ea145a6afe8e3bfff2e08d0ed1bd58d.jpg"" title/><img src=""paste-19fb65d6c0643fee81133b2f236ed5e41df73a51.jpg"" title/><div><img src=""paste-b6d76ac15a7fb8ecd3d997275e46c6a0c040ab8f.jpg"" title/><br/></div><div><img src=""image-4e6471e6cc07a642ffd548164b70d8447eff36f0.jpg"" title/><br/></div><div><img src=""image-1b87837fe00fb09903d2f3b13d81102650bd6d89.jpg"" title/><br/></div>"
"<img src=""paste-cce703ff9c5a7bea181bda11887cea9bedc82d1b.jpg"" title=""25 &lt;&gt; 기본서 0.472~476 참조산사태로인해발생하는재해 , 지진재해 , 화산재해는재난관리주관기관중산림청에서담당한다 .
ㅇ 1×""/><div><img src=""image-804cecae1cdc3edbbcab073ac780abe0eb8face7.jpg"" title=""방송통신재난 ,
미세먼지자연우주물체추락 , 충돌골
Yol 붕괴저수지의붕괴환경오염 , 수질오염공항의화재등빌생
| 사고의전염병가스사고 , 전기사고이 :괴
B 32, 의붕괴축산물도매시장수산물도매시장안전관리대상어린이제품안전확인대상생활화학
10t 듬빌제품및실생물제 BUL AN
교육시설 ( 연구실제외 ) 물류시설의화재등빌생
. 에때 s 비행정안전부 ( 자연재난 ) 해양수산부 ( 자연재난 ) |
행정안전부 ( 사회재난 ) 으""/><br/></div>"	"<img src=""paste-84b02449f6c0719cbfd3582e6da28427d014d06b.jpg"" title/><img src=""paste-19fb65d6c0643fee81133b2f236ed5e41df73a51.jpg"" title/><div><img src=""paste-b6d76ac15a7fb8ecd3d997275e46c6a0c040ab8f.jpg"" title/><br/></div><div><img src=""image-4e6471e6cc07a642ffd548164b70d8447eff36f0.jpg"" title/><br/></div><div><img src=""image-1b87837fe00fb09903d2f3b13d81102650bd6d89.jpg"" title/><br/></div>"
"<img src=""paste-4a9395f204b1a3c738fa3507b484275953fdaeff.jpg"" title=""26 O71M paT2-476 참조외국인보호실및외국인보호소의화재등으로인해발생하는대규모피해는재난관리주관기관중법무부에서담당한다 .
ㅇ 1×""/>"	"<img src=""paste-b144074fd61a1646b6e5ae7981059095b2ddab95.jpg"" title/><img src=""paste-19fb65d6c0643fee81133b2f236ed5e41df73a51.jpg"" title/><div><img src=""paste-b6d76ac15a7fb8ecd3d997275e46c6a0c040ab8f.jpg"" title/><br/></div>"
"<img src=""paste-dffd5bc7eaba3405a32bc39c4b16087160d37f4c.jpg"" title=""27 &lt;&gt; 기본서 ㅇ .477 참조긴급구조기관이란소방청 - 소방본부및소방서를말한다 . 다만 , 해양에서발생한재난의경우에는경찰청 - 지방경찰청및경찰서를말한다 .
ㅇ 1×""/>"	"<img src=""paste-d400aff486ba7d213a1d7567424043c5d4aebee7.jpg"" title/><img src=""paste-19fb65d6c0643fee81133b2f236ed5e41df73a51.jpg"" title/><div><img src=""paste-a1b24cb52dfa0214d572deebc2e6df904e52a6ca.png"" title/><br/></div>"
"<img src=""paste-7199a04f05cb24b005d9ed61cfb1b8ec106a4dfc.jpg"" title=""28 &lt;&gt; 기브서 0477 참조국가재난관리기준이란모든유형의재난에공통적으로활용할수있도록재난관리의전과정을통일적으로단순화 - 체계화한것으로서국무총리가고시한것을말한다 .
ㅇ 1×""/>"	"<img src=""paste-514792193fa1e9b9f62f2ef90af70ed6be54af1c.jpg"" title/><img src=""paste-5f5a07f9b70dfe196897a1835664fe0a89d31dfa.jpg"" title/><div><img src=""paste-a1b24cb52dfa0214d572deebc2e6df904e52a6ca.png"" title/><br/></div>"
"<img src=""paste-517a3b54a38329ff66729f25788c9454ff5fd064.jpg"" title=""29 &lt;&gt; 기보서 0477 참조재난관리정보는재난관리를위하여필요한재난상황정보 , 동원가능자원정보 , 시설물정보 , 지리정보를말한다 .
ㅇ 1×""/>"	"<img src=""paste-7a8db1ab56dc8d7d816fae2c0fdb684ee59f7ae6.jpg"" title/><img src=""paste-5f5a07f9b70dfe196897a1835664fe0a89d31dfa.jpg"" title/><div><img src=""paste-a1b24cb52dfa0214d572deebc2e6df904e52a6ca.png"" title/><br/></div>"
"<img src=""paste-3e7c751243ae7d31ef6e19221420b7de8332b571.jpg"" title=""30 &lt;&gt; 기브서 0478 참조국무총리는국가및지방자치단체가행하는재난및안전관리업무를총괄 - 조정한다 .
ㅇ 1×""/>"	"<img src=""paste-cb028aa609761630bea29dcbe8bf4fd2f3a8aa94.jpg"" title/><img src=""paste-5f5a07f9b70dfe196897a1835664fe0a89d31dfa.jpg"" title/><div><img src=""paste-d681ad7c8e974469c09f037bbb9da499229b4c5b.png"" title/><br/></div>"
"<img src=""paste-6734a69bd905c538268949dc0ffabcef2d0b4db0.jpg"" title=""31 &lt;5 기본서 6.480 참조재난사태의선포에관한사항 , 특별재난지역의선포에관한사항은안전정책조정위원회에서사전에검토하여야하는사항에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-e0f8158f84158b1980e6ec7c7a5395d93348829c.jpg"" title/><img src=""paste-5f5a07f9b70dfe196897a1835664fe0a89d31dfa.jpg"" title/><div>중기중기 특별재난 / 사전검토 x</div><div><img src=""image-c82e51b437cacd8d23fe6278a3f289c946b1e394.jpg"" title/><br/></div><div><img src=""paste-49ceccf488908dd459236520d924a5a77087570d.png"" title/><br/></div>"
"<img src=""paste-a5342d63a24015789ba42c9fe1801deaa5b7150c.jpg"" title=""32 &lt;5 기본서 0.481 참조재난및안전관리에관한사항을심의하기위하여행정안전부소속으로중앙안전관리위원회를두어야하며 , 위원장은국무총리가된다 .
ㅇ 1×""/>"	"<img src=""paste-379871e69ade474728eba850506d3da0da81fc07.jpg"" title/><img src=""paste-5f5a07f9b70dfe196897a1835664fe0a89d31dfa.jpg"" title/><div><img src=""image-92d841d00b88e773ab28f3611512a8ed78b41025.jpg"" title/><br/></div><div><img src=""image-4a31c3e24c42b59d80f094f0efa03f3fd79e67f3.jpg"" title/><br/></div><div><img src=""image-7b3d70a8def7642ac655714992d7a4dfaececc87.jpg"" title/><br/></div>"
"<img src=""paste-39d83b4a568db0f4e95015280f3d15cfbe55e172.jpg"" title=""33 &lt;&gt; 기본서 0.483 참조안전정책조정위원회의심의사항중집행계획의심의결과 , 국가핵심기반의지정에관한사항의심의결과 , 재난및안전관리기술종합계획의심의결과는중앙안전관리위원회에보고하여야한다 .
ㅇ 1%×""/><div>심의사항</div><div>중앙위 보고상황</div>"	"<img src=""paste-3cf97ec50f51c3432459b48aab18346d38d405e6.jpg"" title/><img src=""paste-b533ed9d61f2376e4480625d22ee6fd3f2f2ee9e.jpg"" title/><div><div><img src=""image-92d841d00b88e773ab28f3611512a8ed78b41025.jpg"" title/><br/>
</div>
<div>
<img src=""image-4a31c3e24c42b59d80f094f0efa03f3fd79e67f3.jpg"" title/><br/>
</div>
<div><img src=""image-7b3d70a8def7642ac655714992d7a4dfaececc87.jpg"" title/></div><div><img src=""paste-ff351561e232d7ee53c59392b16c4ad1ff316814.png"" title/><br/></div></div>"
"<img src=""paste-d10ab371f8c931756489fb3f9f48ec44128ab186.jpg"" title=""34 &lt;&gt; 기본서 ”0.482 참조안전정책조정위원회의위원장은행정안전부장관이며 , 간사위원 1 명은행정안전부의재난안전관리사무를담당하는본부장이된다 .
ㅇ 1×""/>"	"<img src=""paste-172a2d6808a1db131d7b1c400d95100dac8f7fc4.jpg"" title/><img src=""paste-b533ed9d61f2376e4480625d22ee6fd3f2f2ee9e.jpg"" title/><div><div><img src=""image-92d841d00b88e773ab28f3611512a8ed78b41025.jpg"" title/><br/>
</div>
<div>
<img src=""image-4a31c3e24c42b59d80f094f0efa03f3fd79e67f3.jpg"" title/><br/>
</div>
<div><img src=""image-7b3d70a8def7642ac655714992d7a4dfaececc87.jpg"" title/></div></div>"
"<img src=""paste-37ea8296c45af459f1c36a45de9f9d08ac0ba356.jpg"" title=""35 &lt;&gt; 기본서 0.483 참조실무위원회는위원장 1 명을포함하여 25 명내외의위원으로구성하며 , 실무위원장은행정안전부의재난안전관리사무를담당하는본부장이된다 .
ㅇ 1×""/>"	"<img src=""paste-d955ed1acc6aec861bb54e33d7cc971e9b4c61f9.jpg"" title/><img src=""paste-b533ed9d61f2376e4480625d22ee6fd3f2f2ee9e.jpg"" title/><div><div><img src=""image-92d841d00b88e773ab28f3611512a8ed78b41025.jpg"" title/><br/>
</div>
<div>
<img src=""image-4a31c3e24c42b59d80f094f0efa03f3fd79e67f3.jpg"" title/><br/>
</div>
<div><img src=""image-7b3d70a8def7642ac655714992d7a4dfaececc87.jpg"" title/></div></div>"
"<img src=""paste-c199b460499e5c290a0d605e21d60fd7722924f4.jpg"" title=""36 기본서 0.486 참조시도안전관리위원회의위원장은소방본부장이되고 , 시 ㆍ 군 - 구안전관리위원회의위원장은소방서장이된다 .
ㅇ 1×""/>"	"<img src=""paste-52b136b439b82f4b3cb2d3d26a50c9b099b81419.jpg"" title/><img src=""paste-b533ed9d61f2376e4480625d22ee6fd3f2f2ee9e.jpg"" title/><div><div><img src=""image-92d841d00b88e773ab28f3611512a8ed78b41025.jpg"" title/><br/>
</div>
<div>
<img src=""image-4a31c3e24c42b59d80f094f0efa03f3fd79e67f3.jpg"" title/><br/>
</div>
<div><img src=""image-7b3d70a8def7642ac655714992d7a4dfaececc87.jpg"" title/></div></div>"
"<img src=""paste-e973dfbc14d9260d9c31ac33b90e68cf8cc13f46.jpg"" title=""37 &lt; 기본서 6.487 참조중앙안전관리위원회에두는중앙재난방송협의회는위원장 1 명을포함한 35 명이내의위원으로구성한다 .
01X""/>"	"<img src=""paste-65dfa6b94f7d3348954015283febcff3be7c73c6.jpg"" title/><img src=""paste-3e877c3de7547b504c5d80c8ddea89b3685b6e6a.jpg"" title/><div><div><img src=""image-92d841d00b88e773ab28f3611512a8ed78b41025.jpg"" title/><br/>
</div>
<div>
<img src=""image-4a31c3e24c42b59d80f094f0efa03f3fd79e67f3.jpg"" title/><br/>
</div>
<div><img src=""image-7b3d70a8def7642ac655714992d7a4dfaececc87.jpg"" title/></div></div>"
"<img src=""paste-f735c2c5a4d41588eeebfeab0d86bc22356c1dc0.jpg"" title=""38 &lt;5 기본서 .489 참조중앙안전관리위원회의위원장은재난및안전관리에관한민관협력관계를원활히하기위하여중앙안전관리민관협력위원회를구성 - ㆍ 운영할수있다 .
o1 %""/>"	"<img src=""paste-296cab02fab8d86f948bfcf419d773d5d4ff84ac.jpg"" title/><img src=""paste-3e877c3de7547b504c5d80c8ddea89b3685b6e6a.jpg"" title/><div><div><img src=""image-92d841d00b88e773ab28f3611512a8ed78b41025.jpg"" title/><br/>
</div>
<div>
<img src=""image-4a31c3e24c42b59d80f094f0efa03f3fd79e67f3.jpg"" title/><br/>
</div>
<div><img src=""image-7b3d70a8def7642ac655714992d7a4dfaececc87.jpg"" title/></div></div>"
"<img src=""paste-8249169da436e96ade461ca080fed69ff4a6e250.jpg"" title=""39 &lt;&gt; 기본서 .489 참조중앙안전관리민관협력위원회는공동위원장 2 명을포함하여 25 명이내의위원으로구성하며 , 중앙민관협력위원회의공동위원장은행정안전부장관과위촉된민간위원중에서중앙민관협력위원회의의결을거쳐행정안전부장관이지명하는사람이된다 .
ㅇ 1×""/>"	"<img src=""paste-5d2fb2c2c859f1e1d6bd06256505d61dcc8656b1.jpg"" title/><img src=""paste-3e877c3de7547b504c5d80c8ddea89b3685b6e6a.jpg"" title/><div><div><img src=""image-92d841d00b88e773ab28f3611512a8ed78b41025.jpg"" title/><br/>
</div>
<div>
<img src=""image-4a31c3e24c42b59d80f094f0efa03f3fd79e67f3.jpg"" title/><br/>
</div>
<div><img src=""image-7b3d70a8def7642ac655714992d7a4dfaececc87.jpg"" title/></div></div>"
"<img src=""paste-6e2227b8898b73f4b061afae78c8d4c48ef640cb.jpg"" title=""40 5 기본서 0.492 참조대통령령으로정하는대규모재난의대응 - 복구 ( 수습 ) 등에관한사항을총괄 - 조정하고필요한조치를하기위하여국무총리소속으로중앙재난안전대책본부를둔다 .
ㅇ 1×""/>"	"<img src=""paste-af78374642ff5eada59ecf55a56b8fca45793e51.jpg"" title/><img src=""paste-3e877c3de7547b504c5d80c8ddea89b3685b6e6a.jpg"" title/><div><div><img src=""image-949638ebeaacce8c611bbe8e56c76cf6cc14aa30.jpg"" title/><br/>
</div>
<div><br/>
</div>
<div><br/></div></div>"
