#separator:tab
#html:true
"<img src=""paste-616905234e4a4e7e1759f9dc4b91ba98e35f41d3.jpg"" title=""이 &lt;&gt; 기본서 676 참조
BE(He), 네온 (46), 아르곤 ( 시 ) 등불활성기체는불안정한상태이다 .""/>"	"<img src=""paste-d9d69175f2c65095d49dfefe7720fbf78abca63b.jpg"" title/>X"
"<img src=""paste-c9b208bed6d4b31e4c2add3b8cb264a8b1e0852b.jpg"" title=""17 &lt;&gt; 기본서 ”6.24 참조비열 (&lt;) 이란어떤물질 198 온도 1&lt; 높이는데필요한열량 (&lt;3!) 을말하며 , 물의비
@2 1[cal/g-ClOICE.
olx""/>"	"<img src=""paste-13f6f38cadb325dd21d17f19443613abb7bea1e2.jpg"" title/>O"
"<img src=""paste-45f74807db63aceb8eb722dcfdfa385b6d5fed22.jpg"" title=""18 &lt;&gt; 기본서 0.24 참조더운여름바닷가에서모래가바다보다뜨거운이유는모래가바다보다비열이크기때문이다 .
ㅇ 1×""/>"	"<img src=""paste-fdc7bfad436609c9e7849a094bc355d7b09f1738.jpg"" title/>X"
"<img src=""paste-ab2ea0f67e5689d61f0eaa9f49a3be25f51985e6.jpg"" title=""19 &gt; 기본서 0.25 참조
30[] 의물 10[9] 이 100[&lt;] 의수증기까지변화할때소모되는총열량은 700[&lt;3|]
이다 .
ㅇ 1※""/>"	"<img src=""paste-b8829c979174999a124885c1a8c5ff878cfe12b2.jpg"" title/>X"
"<img src=""paste-1e8c61968371e46d2d1749062be5454c92428cda.jpg"" title=""20 &lt;5 기본서 0.25 참조화재현장에서 15[&lt;] 의물이 100[] 의수증기로모두바뀌었다고가정할때 , 소화약제로사용된물의냉각효과는 B &lt;9 당흡수한현열은약 355.3\」, B kgl 흡수한증발잠열은약 2,253\. 이다 . ( 단 , 163 =4.181! 이다 .)
ㅇ 1×""/>"	"<img src=""paste-225a3a5cda047397f1bf452bd2adfe1f4f6d5d1b.jpg"" title/>O"
"<img src=""paste-99ace9fb4cfcb34ab93f12eb66dfe9900911cfc5.jpg"" title=""21 O p2s
물의빙점은 0&lt; 이고 , 물의융점은 100&lt; 이다 .""/>"	"<img src=""paste-9ad4cd22e6f87f7bba93aab54475d2ca569c72be.jpg"" title/>X"
"<img src=""paste-fc757a5ac472005445170929522e63a174fc6121.jpg"" title=""22 &lt;&gt; 기본서 0.26 참조섭씨 20 도는절대온도로 293[\] 이며 , 화씨온도로 68[ ㅜ 『] 이다 .""/>"	"<img src=""paste-1c5dcf98b7630dc38513aec33ba053d049915c6a.jpg"" title/>O<div><img src=""paste-063b75df5637a6dfc5ce46e7f0297898953d1a8c.png"" title/><br/></div>"
"<img src=""paste-f4c3e2c7dcb79c28f9b128b5107f41dd832ced5e.jpg"" title=""23 &lt;5 기본서 0.25 참조얼음의비열은물의비열보다크다 .""/>"	"<img src=""paste-bb3ba3bb3226be16492f4dd1a98e38b7aa16f5e5.jpg"" title/>X"
"<img src=""paste-64a8ccef59205940b25367cc6f8f75e7417c2e77.jpg"" title=""24 &lt;5 기본서 0.26 참조연소과정은반응물의에너지가생성물의에너지보다작으므로발열반응을한다 . 또한 ,
소화과정은반응물의에너지가생성물의에너지보다크므로흡열반응을한다 .
ㅇ 1×""/>"	"<img src=""paste-c60eb06b4590e071f00d3bcdc3471a809f00fb06.jpg"" title/>X"
"<img src=""paste-ab347284be7da86dd4834b2a328b5f4b998ba08d.jpg"" title=""25 &lt;&gt; 기본서 0.27 참조보일 - 샤를의법칙이란기체의부피가압력에비례하며상대온도에반비례함을의미한다 .
ㅇ ×""/>"	"<img src=""paste-ccdaac05a1192a91636794f71866279665724feb.jpg"" title/>X"
"<img src=""paste-220f43477838baed89d14bf8218bbfad2bbb980d.jpg"" title=""26 &lt;&gt; 기본서 0.27 참조건물내에서화재가발생하여실내온도가 27[&lt;] 에서 627[“] 까지상승하였다 . 화재로인한압력의변화는없다고가정할경우실내의부피는처음보다약 1/3 배팽창한다 .
ㅇ 1×""/>"	"<img src=""paste-689851af9869fe3beeaa2b41ff2b23292fffb5c0.jpg"" title/>X"
"<img src=""paste-ab2da298c3612cff19662fd4ba990c2cdbc6c710.jpg"" title=""27 &lt;&gt; 기본서 ”&amp;.27 참조화재가발생할경우뜨거운연기의부피가커지는것은보일의법칙과연관성이있다 .
o1x""/>"	"<img src=""paste-4e83a07922a4451ab030003753bd3960e42af846.jpg"" title/>X"
"<img src=""paste-ae6a5120156ae72c64617edceddaea2a1acef683.jpg"" title=""28 &lt;5 기본서 6.28 참조수증기 (420) 의질량이 36[9] 존재하는 22 +57|(H,0)7H 18 존재함을의미한다 .
( 단 , 원자량은수소 1, 산소 16 이다 .)
ㅇ 1×""/>"	"<img src=""paste-44e555bcd8a6340334b6c6f8de28793a4923a1ca.jpg"" title/>X"
"<img src=""paste-ffb00c67182d5bdb7908b8a3cec5dc7b7b5bcf10.jpg"" title=""29 &lt;&gt; 기본서 0.28 참조
0 1 기압에서암모니아 ( 빠 !》 가 44.8[ ㄴ ] 존재할경우에는질량이 17[9] 존재함을의미한다 .
ㅇ 1×""/>"	"<img src=""paste-45a915c0229cf59482b28303b25b4106e2eabe0c.jpg"" title/>X"
"<img src=""paste-9b7f6dd8996b8eb9c914cc2a0ff34353c687475a.jpg"" title=""30 &lt;&gt; 기본서 .28 참조
627[&lt;」], 1 기압에서메탄 ( 아 ) 32[9] 이공기중에서완전연소할때발생되는이산화탄소 (&lt; ㅇ 2) 의발생량은 73.8[ ㄴ ] 이다 .
으 1""/>"	"<img src=""paste-b9bbefc118dcb903d38945010986acfb56a78954.jpg"" title/>X"
"<img src=""paste-3db2dd96b660c0bdff25479e3b4e2125999ca290.jpg"" title=""31 &lt;&gt; 가본서 6.28 참조표준상태에서 OfER!(CHe) 2 몰이완전연소할때필요한산소의부피는 78.4[ ㄴ ] 이다 .
ㅇ 1×""/>"	"<img src=""paste-6afedb49ce810f3c5c4835cc20ceb13473f3a169.jpg"" title/>X"
