#separator:tab
#html:true
"<img src=""paste-1f3be686e845aca91c7c37425b688f143f9c1713.jpg"" title=""이 &lt;&gt; 기본서 6180 참조내장재료의화재안전성능은 “ 불연재료 &lt; 준불연재료 &lt; 난연재료 ” 이다 .""/>"	"<img src=""paste-ae4516c1860a82e2c828893426610ed743900673.jpg"" title/>X"
"<img src=""paste-8fa8cd6245e0c79ca7b47e2773be64078de92aed.jpg"" title=""27 &lt;&gt; 기본서 6188 참조피난계단이란부속실을거쳐계단실에도달할수있도록한계단을말한다 .
ㅇ 1×""/>"	"<img src=""paste-fbc86736ed93d90cc88419dfeec88389c0bbdf96.jpg"" title/>X<div><img src=""paste-a3e5e1d13229f8934f60dee5bff297bacc4bb9e3.png"" title/><br/></div>"
"<img src=""paste-d007d52e883e6c1d4f9eaf6d76f2fa69646d6fab.jpg"" title=""28 &lt;&gt; 기본서 0789 참조초고층건축물의경우에는건죽물전체층수의 2 분의 1 에해당하는층으로부터상하
5 개층이내에 1 개소이상피난안전구역을설치하여야한다 .
ㅇ 1×""/><div>초고층</div><div>준초고층</div>"	"<img src=""paste-c19f99b3f67a4531b19b5c833455d51764b82886.jpg"" title/>X<div><img src=""paste-02307512e7b732b722b7e0563e4a7247dd3ff743.png"" title/><br/></div>"
"<img src=""paste-c0581702ddf7492acb2243d78040d8f7929282af.jpg"" title=""29 &lt;5 기본서 0190 참조공간적대응은설비적대응을보완하는것을의미하며 , 건축물의내장재를불연화또는난연화를하는것은공간적대응중회피성에해당한다 .
o1x""/>"	"<img src=""paste-4fb00de347872ad571f42bfb3b4800daf0d6b4a5.jpg"" title/>X<div><img src=""paste-aa73ebfcf3be97d66a75b998ee35c86cab9fde57.png"" title/><br/></div>"
"<img src=""paste-05fe60132b0c7cd2f2ad14e402635fa3f6902dba.jpg"" title=""30 &lt;&gt; 기본서 0. 이참조층수가 6 층이상인건축물은건축허가등의동의대상물에해당한다 .""/>"	"<img src=""paste-515f854c07941b1d342fa1a6e978a64f752b606b.jpg"" title/>O<div><img src=""image-cbd3a0ec5f4c2aa111075c6a0da349c6dcf655f5.jpg"" title/><br/></div><div><img src=""image-3c94b16fc8dbad339429bd06da86f5ed75fc324b.jpg"" title/><br/></div>"
"<img src=""paste-d776c5c194922dd9656a86c82ef22d87e78be9c9.jpg"" title=""31 &lt;&gt; 기본서 0. 이참조지하층또는무창층이있는건축물로서바닥면적이 100 제곱미터이상인층이있는공연장은건축허가등의동의대상물에해당한다 .
o1x""/>"	"<img src=""paste-f812a97fb1da65703dac740f0010773d834ef030.jpg"" title/>O<div><div>
<img src=""image-cbd3a0ec5f4c2aa111075c6a0da349c6dcf655f5.jpg"" title/><br/>
</div>
<div><img src=""image-3c94b16fc8dbad339429bd06da86f5ed75fc324b.jpg"" title/></div></div>"
"<img src=""paste-34555107db934ebfe029b8179be1c82bebb275d3.jpg"" title=""32 &lt;&gt; 기본서 0.1 이참조승강기등기계장치에의한주차시설로서자동차 15 대이상을주차할수있는시설은건축허가등의동의대상물에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-86eb506bb00cb69aedee2629ab2aa0379aef6bde.jpg"" title/>X<div><div>
<img src=""image-cbd3a0ec5f4c2aa111075c6a0da349c6dcf655f5.jpg"" title/><br/>
</div>
<div><img src=""image-3c94b16fc8dbad339429bd06da86f5ed75fc324b.jpg"" title/></div></div>"
"<img src=""paste-34cc280bf067e032fbb0a0507eae71bfb3127d7c.jpg"" title=""33 &lt;&gt; 기본서 0192 참조특정소방대상물중공장또는창고시설로서 ' 화재의예방및안전관리에관한법률시행령 .」 별표 2 에서정하는수량의 500 배이상의특수가연물을저장 - 취급하는것은건축허가등의동의대상물에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-591d4e20fc28ad19722f655b240d37721dbef40f.jpg"" title/>X<div><div>
<img src=""image-cbd3a0ec5f4c2aa111075c6a0da349c6dcf655f5.jpg"" title/><br/>
</div>
<div><img src=""image-3c94b16fc8dbad339429bd06da86f5ed75fc324b.jpg"" title/></div></div>"
"<img src=""paste-ab3ea6f9c99b2f175597a870f3fb85cfecf0cc41.jpg"" title=""34 5 가본서 6792 참조가스시설로서지상에노출된탱크의저장용량의합계가 100 톤이상인것은건축허가등의동의대상물에해당한다 .
ㅇ 1%※×""/>"	"<img src=""paste-2235774faef91cf49889c6cdeafcd80aa60f8796.jpg"" title/>O<div><div>
<img src=""image-cbd3a0ec5f4c2aa111075c6a0da349c6dcf655f5.jpg"" title/><br/>
</div>
<div><img src=""image-3c94b16fc8dbad339429bd06da86f5ed75fc324b.jpg"" title/></div></div>"
"<img src=""paste-779b060e45adff4d183917ecbf97d579d317f1cb.jpg"" title=""35 &lt;5 기본서 092 참조특정소방대상물에설치되는비상조명등이화재안전기준에적합한경우해당특정소방대상물은건축허가등의동의대상물에서제외할수있다 .
ㅇ 1×""/>"	"<img src=""paste-22054a4adf7b5869c57293d382c2ba1cffe87a2c.jpg"" title/>X<div>
<div><img src=""image-3c94b16fc8dbad339429bd06da86f5ed75fc324b.jpg"" title/></div></div>"
"<img src=""paste-f2acf9c6e14d90fe2b3d7e745e9cf9377a6802fb.jpg"" title=""36 &lt;5 가본서 0192 참조건축물의증축또는용도변경으로인하여해당특정소방대상물에추가로소방시설이설치되는경우해당특정소방대상물은건축허가등의동의대상물에서제외할수있다 .
ㅇ 1×""/>"	"<img src=""paste-e8a1c30ca8d120a824e081cfa921d7124a4ff701.jpg"" title/>X<div>
<div><img src=""image-3c94b16fc8dbad339429bd06da86f5ed75fc324b.jpg"" title/></div></div>"
"<img src=""paste-68ea4f8ecd92d9bdfcd674e170e1bcc2c3b61fc3.jpg"" title=""37 &lt;5 기본서 0193 참조페일 MO Z(Fail safe)i= 누구라도안전하게사용할수있도록원시적방법으로그림 ,
색채등을활용하여야함을의미한다 .
ㅇ 1×""/>"	"<img src=""paste-dcde84234dcdb964768281d4d4855de266aecc93.jpg"" title/>X<div><img src=""paste-e2a80f0d0a58dfaa48b2acbf760eab17bc4b688b.png"" title/><br/></div>"
"<img src=""paste-f4b4e94f8dd92d2dfa1054627eafb2c7fa37ad48.jpg"" title=""38 &lt;5 기본서 0193 참조피난경로는단순해야하며 , 2 방향이상의피난경로를확보하여야한다 . 또한 , 통로의말단은안전한장소이어야한다 .
ㅇ 1×""/>"	"<img src=""paste-6b7c9abee0406639fce1b10cd289a32f504f1c57.jpg"" title/>O"
"<img src=""paste-4d100fa47440727fb07a271a63d3ffbc65d6d205.jpg"" title=""39 &lt;5 기본서 093 참조피난설비는이동식설비로설치하여야하며 , 복합적인방법으로안전하게사용할수있어야한다 .
ㅇ 1×""/>"	"<img src=""paste-e08b848a6e1286e5a85bbb3a31caf83ec3e8c488.jpg"" title/>X"
"<img src=""paste-a7736b4c29b9d63a08ffeb87882104c15fd3b572.jpg"" title=""40 &lt;5 기본서 0194 참조인간의피난본능에는추종본능 , 귀소본능 , 퇴피본능 , 우회본능및지광본능이있다 .
ㅇ 1×""/>"	"<img src=""paste-ad98343bd82bd0eec04ddc75816c2e67eb6325bb.jpg"" title/>X"
"<img src=""paste-b237117b1d3df5183095008c1b29e7d8b87b53d4.jpg"" title=""4 &lt;5 기본서 6794 참조인간은피난시에어두운곳으로대피하려는경향이있으며 , 최초로행동한사람을따르려는경향이있다 .
ㅇ 1×""/>"	"<img src=""paste-34fbd50ce5a6a9ba752489251b3a71eb364a21fa.jpg"" title/>X"
"<img src=""paste-40de8401044bbb59e497c473ce966836b1299fb6.jpg"" title=""42 &lt;&gt; 기본서 6794 참조피난안전구획은 1 차로계단 , 2 차로부속실 , 3 차로복도를구획하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-d583f7bc9f5fb3e11bd0602b25ef37470cf6c7b6.jpg"" title/>X"
"<img src=""paste-f69a2ad5f414b248ac4ac6ad8ed5709dc65f3145.jpg"" title=""43 &lt;&gt; 기본서 6194 참조피난로중형과 &lt;0 형은방향을확실하게분간하기쉬우므로가장확실한피난로가보장된다 .
olx""/>"	"<img src=""paste-343bd83921e8d1ee51c527b744a25b280f845380.jpg"" title/>X"
"<img src=""paste-e140aff75c9e1164ee93dc6c28609ad803e0b7b6.jpg"" title=""44 5 가본서 0195 참조병목현상은피난동선이수평동선과수직동선으로분리되어다수의피난자가원활하게피난할수있는현상을의미한다 .
ㅇ 1×""/>"	"<img src=""paste-7adaaae4419533dd8b96bf7540ff39c8468fc7e1.jpg"" title/>X<div><img src=""paste-f07124e4957b8a9d2fc654bad0c7fe72b6a697cc.png"" title/><br/></div>"
"<img src=""paste-c828c7fd0e18ee822f876e83ec4fb37b306ecf73.jpg"" title=""45 &lt;&gt; 기본서 0195 참조인명안전기준중가시거리에의한영향에따라집회시설및판매시설은허용가시거리가 7[0] 이며 , 고휘도유도등 , 바닥유도등 , 축광유도표지설치시허용가시거리가
10[0] 이다 .
ㅇ 1×""/><div>기타시설</div>"	"<img src=""paste-831fd69a14333d1124d1b71f753187956401ca64.jpg"" title/>X<div><img src=""paste-f07124e4957b8a9d2fc654bad0c7fe72b6a697cc.png"" title/><br/></div>"
"<img src=""paste-46851d5609680987cd1eed123bac204544c2f033.jpg"" title=""46 &lt;&gt; 기본서 0195 참조인명안전기준중독성에의한영향에따라일산화탄소 (&lt;0) 의독성기준치는 50[000 ㅁ ]
이고 , 이산화탄소 (&lt; ㅇ 2) 의독성기준치는 5[%] 이하이다 .
0 ㅇ 1×""/><div>일산화탄소</div><div>산소</div><div>이산화탄소</div>"	"<img src=""paste-892b3f1d6dcbbc276aaad94d8f9a96fcd6b98403.jpg"" title/>X<div><img src=""paste-f07124e4957b8a9d2fc654bad0c7fe72b6a697cc.png"" title/><br/></div>"
"<img src=""image-5815542351bf54356e113ecae69b724dd5dfc31a.jpg"" title=""""/>"	"<img src=""paste-f07124e4957b8a9d2fc654bad0c7fe72b6a697cc.png"" title="""">"
